datetime,open,high,low,close,volume
2025-09-17 12:00:00,1.1,1.6625,1.1,1.5811,7399769.0
2025-09-17 16:00:00,1.5795,2.0175,1.472,1.8545,45864171.0
2025-09-17 20:00:00,1.8532,3.2,1.8023,2.7815,62201640.0
2025-09-18 00:00:00,2.7797,3.6399,2.55,2.8124,45493202.0
2025-09-18 04:00:00,2.8123,2.88,2.2071,2.376,51446095.0
2025-09-18 08:00:00,2.3754,2.5963,2.3014,2.3596,36261657.0
2025-09-18 12:00:00,2.3599,2.77,2.3473,2.4739,46670595.0
2025-09-18 16:00:00,2.4745,2.9538,2.4542,2.6883,25089548.0
2025-09-18 20:00:00,2.6884,2.886,2.57,2.8067,10928378.0
2025-09-19 00:00:00,2.8069,2.9,2.5226,2.6178,11740245.0
2025-09-19 04:00:00,2.6175,2.8,2.5792,2.7321,10949122.0
2025-09-19 08:00:00,2.7323,3.01,2.6763,2.7723,20883209.0
2025-09-19 12:00:00,2.7722,2.895,2.7328,2.8411,17766773.0
2025-09-19 16:00:00,2.8411,2.8584,2.6074,2.6694,9368802.0
2025-09-19 20:00:00,2.6696,2.95,2.669,2.7694,7772709.0
2025-09-20 00:00:00,2.7693,2.853,2.652,2.7639,5748311.0
2025-09-20 04:00:00,2.7634,2.8337,2.67,2.787,4974207.0
2025-09-20 08:00:00,2.7858,2.8494,2.6877,2.7009,4297546.0
2025-09-20 12:00:00,2.7007,2.85,2.688,2.7626,4815399.0
2025-09-20 16:00:00,2.7626,2.8055,2.61,2.6547,5492063.0
2025-09-20 20:00:00,2.654,2.7531,2.62,2.6399,2518038.0
2025-09-21 00:00:00,2.6403,2.6641,2.4817,2.4917,4988342.0
2025-09-21 04:00:00,2.4917,2.5542,2.3448,2.3794,9280333.0
2025-09-21 08:00:00,2.3804,3.4064,2.2538,3.0005,35800527.0
2025-09-21 12:00:00,3.0008,3.5687,2.861,3.3006,19998082.0
2025-09-21 16:00:00,3.3002,3.44,2.95,3.311,12851551.0
2025-09-21 20:00:00,3.3093,3.65,3.11,3.153,9944060.0
2025-09-22 00:00:00,3.153,3.7365,3.0347,3.6397,16946237.0
2025-09-22 04:00:00,3.6397,3.766,2.92,3.6461,39799476.0
2025-09-22 08:00:00,3.6427,6.6986,3.0919,5.4816,215810586.0
2025-09-22 12:00:00,5.4814,5.69,4.2,4.9138,271126649.0
2025-09-22 16:00:00,4.9138,5.1719,4.12,4.6158,95983474.0
2025-09-22 20:00:00,4.6157,4.7852,4.315,4.7443,38946892.0
2025-09-23 00:00:00,4.7444,7.15,4.4629,6.0054,161661730.0
2025-09-23 04:00:00,6.0054,6.2701,5.5,5.7818,87293278.0
2025-09-23 08:00:00,5.782,5.9945,5.2437,5.426,63318201.0
2025-09-23 12:00:00,5.4261,5.975,5.1175,5.2153,53549634.0
2025-09-23 16:00:00,5.216,5.6435,4.9574,5.4149,36644787.0
2025-09-23 20:00:00,5.4137,5.8282,5.1785,5.7079,27605306.0
2025-09-24 00:00:00,5.7079,5.7763,5.2688,5.3135,26474041.0
2025-09-24 04:00:00,5.3135,5.542,5.01,5.4589,25386899.0
2025-09-24 08:00:00,5.4588,5.4782,4.8301,4.912,31651529.0
2025-09-24 12:00:00,4.9126,5.0413,4.8313,4.9907,25245878.0
2025-09-24 16:00:00,4.9906,5.1668,4.8016,5.0563,13927222.0
2025-09-24 20:00:00,5.0563,5.1032,4.8892,4.9849,9625489.0
2025-09-25 00:00:00,4.9849,4.9959,4.1212,4.2662,30666216.0
2025-09-25 04:00:00,4.2663,4.3691,4.0182,4.0637,25231123.0
2025-09-25 08:00:00,4.0638,4.0887,3.8135,3.841,29348812.0
2025-09-25 12:00:00,3.8409,3.8643,3.6244,3.751,36213272.0
2025-09-25 16:00:00,3.751,3.995,3.6817,3.7527,29739403.0
