datetime,open,high,low,close,volume
2023-04-01 00:00:00,74.14,74.83,73.86,74.45,68167.9
2023-04-01 04:00:00,74.44,74.7,73.4,73.59,42273.1
2023-04-01 08:00:00,73.6,74.36,73.4,74.13,38075.6
2023-04-01 12:00:00,74.13,74.3,73.49,73.94,39756.8
2023-04-01 16:00:00,73.94,74.47,73.55,73.99,52366.2
2023-04-01 20:00:00,73.99,74.55,73.73,74.13,37073.2
2023-04-02 00:00:00,74.12,74.45,73.67,74.34,31350.6
2023-04-02 04:00:00,74.34,74.76,74.06,74.4,25139.1
2023-04-02 08:00:00,74.41,74.56,73.73,73.86,31451.6
2023-04-02 12:00:00,73.86,73.98,72.14,72.46,97717.9
2023-04-02 16:00:00,72.45,73.21,71.54,72.04,63557.4
2023-04-02 20:00:00,72.03,73.21,71.79,72.94,42665.8
2023-04-03 00:00:00,72.95,72.98,70.66,72.08,88290.5
2023-04-03 04:00:00,72.09,73.55,71.81,73.43,65214.5
2023-04-03 08:00:00,73.46,75.07,73.45,73.92,136484.1
2023-04-03 12:00:00,73.92,74.61,72.66,73.61,91317.0
2023-04-03 16:00:00,73.6,74.67,73.11,74.14,95779.0
2023-04-03 20:00:00,74.14,74.26,71.33,73.76,127555.8
2023-04-04 00:00:00,73.77,74.14,73.21,73.47,40332.6
2023-04-04 04:00:00,73.46,74.39,72.93,74.18,42996.1
2023-04-04 08:00:00,74.17,75.62,73.93,75.6,105882.1
2023-04-04 12:00:00,75.6,76.56,75.3,75.58,109426.0
2023-04-04 16:00:00,75.58,76.57,75.53,76.34,55417.2
2023-04-04 20:00:00,76.33,76.91,75.87,76.38,58085.8
2023-04-05 00:00:00,76.38,78.74,75.82,78.34,109993.6
2023-04-05 04:00:00,78.34,79.36,78.32,78.7,65942.4
2023-04-05 08:00:00,78.69,79.1,78.4,78.97,48152.9
2023-04-05 12:00:00,78.96,79.4,76.89,77.66,151915.2
2023-04-05 16:00:00,77.66,79.08,77.06,78.54,75238.7
2023-04-05 20:00:00,78.56,78.67,78.1,78.19,37194.1
2023-04-06 00:00:00,78.2,79.08,77.43,79.0,97727.9
2023-04-06 04:00:00,79.0,79.28,78.16,78.26,68924.8
2023-04-06 08:00:00,78.25,78.96,77.45,78.12,79895.3
2023-04-06 12:00:00,78.12,81.41,77.89,79.39,265951.8
2023-04-06 16:00:00,79.39,79.84,79.07,79.51,70434.0
2023-04-06 20:00:00,79.51,80.67,79.12,80.55,113475.5
2023-04-07 00:00:00,80.56,80.96,79.88,80.47,87584.1
2023-04-07 04:00:00,80.48,80.88,78.81,79.03,94152.1
2023-04-07 08:00:00,79.03,79.71,78.01,78.19,89654.5
2023-04-07 12:00:00,78.2,79.11,77.77,78.38,115656.6
2023-04-07 16:00:00,78.38,78.82,77.63,77.96,53683.4
2023-04-07 20:00:00,77.96,78.43,77.45,78.25,40579.3
2023-04-08 00:00:00,78.24,78.29,77.24,77.79,35732.2
2023-04-08 04:00:00,77.79,78.71,77.16,78.59,42989.4
2023-04-08 08:00:00,78.59,78.88,77.53,77.54,39388.3
2023-04-08 12:00:00,77.54,77.82,77.35,77.47,30860.9
2023-04-08 16:00:00,77.46,77.76,76.22,76.55,61317.5
2023-04-08 20:00:00,76.56,76.61,75.66,76.28,42067.3
2023-04-09 00:00:00,76.28,77.51,76.18,76.65,40098.3
2023-04-09 04:00:00,76.66,76.8,74.78,74.87,62104.6
2023-04-09 08:00:00,74.87,75.68,74.72,75.54,52202.4
2023-04-09 12:00:00,75.54,75.89,75.17,75.49,42742.9
2023-04-09 16:00:00,75.49,76.51,74.96,76.16,49626.2
2023-04-09 20:00:00,76.18,77.04,76.07,76.2,45681.4
2023-04-10 00:00:00,76.21,76.62,75.22,76.14,45609.3
2023-04-10 04:00:00,76.13,76.26,75.39,75.66,25978.5
2023-04-10 08:00:00,75.66,76.28,75.62,75.84,24271.3
2023-04-10 12:00:00,75.85,75.99,75.07,75.58,55712.8
2023-04-10 16:00:00,75.58,77.86,75.41,77.44,124693.7
2023-04-10 20:00:00,77.45,78.7,76.85,78.46,79290.3
2023-04-11 00:00:00,78.47,79.61,77.96,79.54,106664.0
2023-04-11 04:00:00,79.55,80.5,79.04,80.03,93226.7
2023-04-11 08:00:00,80.03,80.38,79.34,79.58,56307.7
