datetime,open,high,low,close,volume
2023-04-01 00:00:00,1.3899,1.4028,1.3529,1.3564,88538854.5
2023-04-01 04:00:00,1.3564,1.3679,1.3164,1.3348,111509841.0
2023-04-01 08:00:00,1.3348,1.3464,1.3176,1.3336,80707289.5
2023-04-01 12:00:00,1.3337,1.3447,1.2587,1.2911,135346734.9
2023-04-01 16:00:00,1.2908,1.2938,1.258,1.2677,108389740.3
2023-04-01 20:00:00,1.2677,1.3024,1.2677,1.2928,61141455.2
2023-04-02 00:00:00,1.2928,1.2982,1.264,1.2743,71672405.2
2023-04-02 04:00:00,1.2743,1.2746,1.2235,1.2638,106734724.2
2023-04-02 08:00:00,1.2639,1.29,1.2524,1.2792,88959349.0
2023-04-02 12:00:00,1.2792,1.2792,1.15,1.1838,378558353.1
2023-04-02 16:00:00,1.1839,1.2127,1.1303,1.1508,315217333.3
2023-04-02 20:00:00,1.1509,1.204,1.132,1.2004,214805694.3
2023-04-03 00:00:00,1.2004,1.2079,1.1439,1.1964,209183140.9
2023-04-03 04:00:00,1.1964,1.2187,1.1753,1.2161,144855116.9
2023-04-03 08:00:00,1.2161,1.23,1.1912,1.1982,148048490.7
2023-04-03 12:00:00,1.1982,1.202,1.1666,1.1757,167180100.1
2023-04-03 16:00:00,1.1757,1.195,1.1455,1.1694,187179395.5
2023-04-03 20:00:00,1.1693,1.1721,1.0933,1.1521,203511357.6
2023-04-04 00:00:00,1.1521,1.1788,1.1468,1.1518,86743174.7
2023-04-04 04:00:00,1.1518,1.1897,1.1466,1.1732,91074048.5
2023-04-04 08:00:00,1.1732,1.219,1.1655,1.2067,138821975.7
2023-04-04 12:00:00,1.2067,1.2385,1.196,1.2315,155241234.0
2023-04-04 16:00:00,1.2315,1.265,1.2248,1.237,145527655.7
2023-04-04 20:00:00,1.2369,1.2609,1.225,1.2337,75186536.1
2023-04-05 00:00:00,1.2337,1.2898,1.213,1.2741,146257627.5
2023-04-05 04:00:00,1.2741,1.28,1.2513,1.2673,65457106.7
2023-04-05 08:00:00,1.2673,1.2876,1.2555,1.2708,72045429.8
2023-04-05 12:00:00,1.2707,1.28,1.2176,1.2283,147079390.9
2023-04-05 16:00:00,1.2282,1.2635,1.2025,1.2494,112513524.3
2023-04-05 20:00:00,1.2493,1.2586,1.2345,1.2418,53538846.9
2023-04-06 00:00:00,1.2418,1.2444,1.2107,1.2305,68761634.3
2023-04-06 04:00:00,1.2306,1.2309,1.195,1.1992,55217788.9
2023-04-06 08:00:00,1.1991,1.2095,1.1791,1.2012,86235639.5
2023-04-06 12:00:00,1.2012,1.2169,1.1868,1.2087,86613678.0
2023-04-06 16:00:00,1.2088,1.217,1.1945,1.2026,42546055.3
2023-04-06 20:00:00,1.2027,1.215,1.1919,1.2145,37329685.7
2023-04-07 00:00:00,1.2146,1.247,1.2081,1.2291,89654983.3
2023-04-07 04:00:00,1.2291,1.2356,1.192,1.198,67320942.2
2023-04-07 08:00:00,1.1979,1.2053,1.1833,1.1872,57441820.9
2023-04-07 12:00:00,1.1871,1.206,1.1839,1.1992,64234313.5
2023-04-07 16:00:00,1.1993,1.2014,1.185,1.1898,29930061.8
2023-04-07 20:00:00,1.1899,1.2023,1.18,1.1963,29034495.2
2023-04-08 00:00:00,1.1963,1.203,1.1823,1.2015,35577373.7
2023-04-08 04:00:00,1.2015,1.2097,1.194,1.2041,32780054.4
2023-04-08 08:00:00,1.2042,1.2085,1.187,1.1898,41584471.3
2023-04-08 12:00:00,1.1898,1.1922,1.181,1.1875,41072672.6
2023-04-08 16:00:00,1.1875,1.1906,1.151,1.1608,74695471.8
2023-04-08 20:00:00,1.1608,1.1684,1.1522,1.1615,39810113.3
2023-04-09 00:00:00,1.1614,1.1811,1.1605,1.1679,37023967.5
2023-04-09 04:00:00,1.168,1.1761,1.1563,1.1623,46561841.5
2023-04-09 08:00:00,1.1623,1.1665,1.1535,1.1625,42754628.5
2023-04-09 12:00:00,1.1625,1.17,1.142,1.1554,72150410.2
2023-04-09 16:00:00,1.1554,1.1837,1.153,1.1717,69224065.2
2023-04-09 20:00:00,1.1718,1.1995,1.1704,1.1809,59608892.6
2023-04-10 00:00:00,1.1808,1.193,1.1663,1.178,53065388.9
2023-04-10 04:00:00,1.178,1.1846,1.17,1.1741,36902587.0
2023-04-10 08:00:00,1.1742,1.1794,1.1663,1.1717,41784808.3
2023-04-10 12:00:00,1.1717,1.1857,1.1612,1.18,63977004.0
2023-04-10 16:00:00,1.18,1.2385,1.178,1.2265,166228627.5
2023-04-10 20:00:00,1.2265,1.2543,1.212,1.2421,88240933.1
2023-04-11 00:00:00,1.2422,1.2597,1.2274,1.2397,100243208.6
2023-04-11 04:00:00,1.2396,1.2439,1.2248,1.241,49230638.2
2023-04-11 08:00:00,1.241,1.2428,1.2222,1.2294,45654276.2
2023-04-11 12:00:00,1.2294,1.2372,1.2196,1.2305,75195156.7
