datetime,open,high,low,close,volume
2023-04-01 00:00:00,8.381,8.45,8.347,8.414,752657.0
2023-04-01 04:00:00,8.413,8.45,8.299,8.318,613245.0
2023-04-01 08:00:00,8.318,8.376,8.283,8.36,541403.0
2023-04-01 12:00:00,8.36,8.378,8.3,8.34,569526.0
2023-04-01 16:00:00,8.34,8.47,8.285,8.432,1058158.0
2023-04-01 20:00:00,8.432,8.512,8.432,8.502,665524.0
2023-04-02 00:00:00,8.502,8.51,8.371,8.423,767964.0
2023-04-02 04:00:00,8.424,8.553,8.414,8.537,526903.0
2023-04-02 08:00:00,8.538,8.6,8.455,8.488,903004.0
2023-04-02 12:00:00,8.488,8.506,8.2,8.26,1710946.0
2023-04-02 16:00:00,8.26,8.35,8.18,8.225,933696.0
2023-04-02 20:00:00,8.225,8.32,8.152,8.315,788122.0
2023-04-03 00:00:00,8.315,8.356,8.039,8.22,1645396.0
2023-04-03 04:00:00,8.22,8.233,8.161,8.232,524412.0
2023-04-03 08:00:00,8.233,8.372,8.232,8.306,1415074.0
2023-04-03 12:00:00,8.306,8.337,8.168,8.269,1057940.0
2023-04-03 16:00:00,8.268,8.435,8.2,8.369,1579219.0
2023-04-03 20:00:00,8.37,8.389,8.024,8.255,1866130.0
2023-04-04 00:00:00,8.256,8.275,8.161,8.194,759633.0
2023-04-04 04:00:00,8.194,8.361,8.193,8.316,953039.0
2023-04-04 08:00:00,8.317,8.486,8.286,8.434,1352997.0
2023-04-04 12:00:00,8.434,8.464,8.329,8.351,1215722.0
2023-04-04 16:00:00,8.352,8.461,8.347,8.453,734190.0
2023-04-04 20:00:00,8.453,8.499,8.388,8.404,669864.0
2023-04-05 00:00:00,8.407,8.563,8.355,8.553,1061451.0
2023-04-05 04:00:00,8.551,8.66,8.531,8.633,859580.0
2023-04-05 08:00:00,8.633,8.716,8.605,8.636,1130600.0
2023-04-05 12:00:00,8.635,8.644,8.333,8.4,2236231.0
2023-04-05 16:00:00,8.399,8.487,8.344,8.471,964343.0
2023-04-05 20:00:00,8.47,8.78,8.449,8.732,1660951.0
2023-04-06 00:00:00,8.732,8.785,8.49,8.643,2686582.0
2023-04-06 04:00:00,8.642,8.644,8.464,8.485,1161610.0
2023-04-06 08:00:00,8.486,8.547,8.388,8.468,1032441.0
2023-04-06 12:00:00,8.467,8.555,8.373,8.539,1105177.0
2023-04-06 16:00:00,8.54,8.579,8.473,8.506,615817.0
2023-04-06 20:00:00,8.506,8.568,8.455,8.545,664541.0
2023-04-07 00:00:00,8.545,8.784,8.479,8.535,2495938.0
2023-04-07 04:00:00,8.536,8.915,8.467,8.473,4737277.0
2023-04-07 08:00:00,8.472,8.623,8.442,8.545,1334599.0
2023-04-07 12:00:00,8.545,8.91,8.5,8.867,6422802.0
2023-04-07 16:00:00,8.866,8.9,8.704,8.706,2580524.0
2023-04-07 20:00:00,8.707,8.831,8.609,8.801,2029680.0
2023-04-08 00:00:00,8.802,8.809,8.588,8.666,1859577.0
2023-04-08 04:00:00,8.666,8.707,8.61,8.668,775977.0
2023-04-08 08:00:00,8.668,8.699,8.608,8.637,629979.0
2023-04-08 12:00:00,8.637,8.653,8.594,8.612,795801.0
2023-04-08 16:00:00,8.612,8.629,8.47,8.494,979965.0
2023-04-08 20:00:00,8.495,8.528,8.417,8.507,852874.0
2023-04-09 00:00:00,8.507,8.576,8.471,8.472,583439.0
2023-04-09 04:00:00,8.471,8.498,8.312,8.362,860208.0
2023-04-09 08:00:00,8.362,8.431,8.34,8.402,591375.0
2023-04-09 12:00:00,8.402,8.44,8.327,8.394,608621.0
2023-04-09 16:00:00,8.396,8.508,8.358,8.469,642557.0
2023-04-09 20:00:00,8.47,8.522,8.433,8.466,649990.0
2023-04-10 00:00:00,8.467,8.508,8.353,8.44,796792.0
2023-04-10 04:00:00,8.442,8.449,8.355,8.394,500074.0
2023-04-10 08:00:00,8.395,8.465,8.366,8.421,551957.0
2023-04-10 12:00:00,8.422,8.46,8.355,8.424,743364.0
2023-04-10 16:00:00,8.425,8.566,8.389,8.546,1779024.0
2023-04-10 20:00:00,8.547,8.679,8.484,8.659,1568563.0
2023-04-11 00:00:00,8.659,8.685,8.576,8.595,1417354.0
2023-04-11 04:00:00,8.596,8.701,8.586,8.685,1037469.0
2023-04-11 08:00:00,8.686,8.707,8.616,8.636,688539.0
2023-04-11 12:00:00,8.636,8.8,8.592,8.752,1584855.0
2023-04-11 16:00:00,8.753,8.825,8.668,8.695,1384220.0
2023-04-11 20:00:00,8.696,8.724,8.638,8.685,826155.0
2023-04-12 00:00:00,8.686,8.731,8.249,8.32,2343513.0
2023-04-12 04:00:00,8.319,8.455,8.305,8.416,903989.0
2023-04-12 08:00:00,8.417,8.427,8.356,8.399,843408.0
2023-04-12 12:00:00,8.398,8.605,8.37,8.52,1994187.0
2023-04-12 16:00:00,8.52,8.624,8.452,8.534,1395788.0
2023-04-12 20:00:00,8.534,8.641,8.524,8.608,728437.0
2023-04-13 00:00:00,8.607,8.629,8.504,8.57,757098.0
2023-04-13 04:00:00,8.57,8.575,8.486,8.548,543209.0
2023-04-13 08:00:00,8.547,8.74,8.536,8.677,1623560.0
2023-04-13 12:00:00,8.676,8.77,8.663,8.717,1869996.0
2023-04-13 16:00:00,8.717,8.819,8.7,8.787,1034115.0
2023-04-13 20:00:00,8.788,8.812,8.726,8.789,786372.0
2023-04-14 00:00:00,8.788,9.245,8.785,9.049,4363285.0
2023-04-14 04:00:00,9.049,9.114,8.972,9.001,1263328.0
2023-04-14 08:00:00,9.002,9.079,8.964,9.067,849948.0
2023-04-14 12:00:00,9.068,9.1,8.793,8.824,2449970.0
2023-04-14 16:00:00,8.824,9.061,8.767,9.061,1497737.0
2023-04-14 20:00:00,9.061,9.111,9.013,9.038,1065105.0
2023-04-15 00:00:00,9.039,9.165,8.954,9.01,2211833.0
2023-04-15 04:00:00,9.01,9.074,8.963,9.044,811314.0
2023-04-15 08:00:00,9.044,9.116,8.995,9.086,756665.0
2023-04-15 12:00:00,9.086,9.106,8.985,9.067,838199.0
2023-04-15 16:00:00,9.066,9.124,9.0,9.058,921866.0
2023-04-15 20:00:00,9.057,9.075,8.967,9.022,604070.0
2023-04-16 00:00:00,9.023,9.04,8.832,8.932,1091561.0
2023-04-16 04:00:00,8.932,9.194,8.918,9.16,1107569.0
2023-04-16 08:00:00,9.159,9.278,9.13,9.19,1961961.0
2023-04-16 12:00:00,9.19,9.28,9.091,9.236,1714033.0
2023-04-16 16:00:00,9.236,9.354,9.176,9.192,1780219.0
2023-04-16 20:00:00,9.191,9.317,9.126,9.256,1225837.0
2023-04-17 00:00:00,9.256,9.288,8.973,9.151,1984007.0
