datetime,open,high,low,close,volume
2025-02-06 12:00:00,11.828,11.828,8.318,8.427,34342996.6
2025-02-06 16:00:00,8.426,9.368,7.313,7.762,103738380.2
2025-02-06 20:00:00,7.765,8.79,6.576,8.588,87627855.5
2025-02-07 00:00:00,8.589,9.0,7.451,8.185,46444899.8
2025-02-07 04:00:00,8.184,8.199,7.34,7.54,34312271.8
2025-02-07 08:00:00,7.54,7.848,7.186,7.569,33544450.7
2025-02-07 12:00:00,7.569,8.19,7.339,7.774,51584042.0
2025-02-07 16:00:00,7.775,8.553,7.69,7.893,42651914.9
2025-02-07 20:00:00,7.898,8.173,7.365,7.678,27365442.8
2025-02-08 00:00:00,7.677,7.775,6.702,6.852,27129225.6
2025-02-08 04:00:00,6.851,6.984,6.207,6.41,30519594.1
2025-02-08 08:00:00,6.408,6.795,6.296,6.513,25624515.2
2025-02-08 12:00:00,6.513,6.773,6.231,6.325,29427958.4
2025-02-08 16:00:00,6.325,6.353,5.835,5.99,32184266.2
2025-02-08 20:00:00,5.99,6.185,5.725,6.046,16926045.1
2025-02-09 00:00:00,6.045,6.5,5.869,6.226,26714420.2
2025-02-09 04:00:00,6.225,6.265,5.814,5.872,16960515.2
2025-02-09 08:00:00,5.872,5.971,5.65,5.837,20749662.8
2025-02-09 12:00:00,5.838,5.939,5.38,5.457,24693706.7
2025-02-09 16:00:00,5.457,5.686,5.04,5.061,22019379.2
2025-02-09 20:00:00,5.062,5.197,4.891,5.179,19431857.5
2025-02-10 00:00:00,5.178,5.45,4.735,4.967,29772239.9
2025-02-10 04:00:00,4.967,5.422,4.904,5.212,20152462.9
2025-02-10 08:00:00,5.211,5.256,4.95,5.038,13887884.2
2025-02-10 12:00:00,5.037,5.69,4.931,5.242,28901765.4
2025-02-10 16:00:00,5.241,5.684,5.231,5.51,18441220.4
2025-02-10 20:00:00,5.509,5.591,5.214,5.278,10616851.5
2025-02-11 00:00:00,5.277,5.869,5.232,5.726,17303803.5
2025-02-11 04:00:00,5.725,6.35,5.516,6.04,22183025.0
2025-02-11 08:00:00,6.041,6.041,5.636,5.652,12922797.2
2025-02-11 12:00:00,5.652,5.674,5.382,5.536,16555102.0
2025-02-11 16:00:00,5.535,5.645,5.388,5.498,11152498.9
2025-02-11 20:00:00,5.498,5.908,5.458,5.8,11682572.6
2025-02-12 00:00:00,5.8,6.045,5.676,5.822,16860800.7
2025-02-12 04:00:00,5.822,5.905,5.414,5.436,12010725.0
2025-02-12 08:00:00,5.436,5.616,5.429,5.543,7939573.9
2025-02-12 12:00:00,5.541,5.725,5.389,5.595,17737810.6
2025-02-12 16:00:00,5.596,5.935,5.441,5.884,12743593.1
2025-02-12 20:00:00,5.884,6.109,5.804,5.876,7997934.8
2025-02-13 00:00:00,5.877,6.3,5.737,6.15,10515572.4
2025-02-13 04:00:00,6.149,6.262,5.861,5.904,8629108.9
2025-02-13 08:00:00,5.903,6.067,5.761,5.817,8358683.2
2025-02-13 12:00:00,5.817,5.98,5.685,5.818,8649508.8
2025-02-13 16:00:00,5.818,5.818,5.56,5.643,6233749.5
2025-02-13 20:00:00,5.644,5.74,5.54,5.595,3854956.4
2025-02-14 00:00:00,5.596,5.66,5.492,5.576,5832313.0
2025-02-14 04:00:00,5.575,5.625,5.411,5.462,5059950.7
2025-02-14 08:00:00,5.462,5.737,5.436,5.704,6767192.3
2025-02-14 12:00:00,5.705,5.965,5.678,5.935,6747379.2
2025-02-14 16:00:00,5.935,6.012,5.826,5.861,5290315.7
2025-02-14 20:00:00,5.861,5.936,5.726,5.901,3742662.6
2025-02-15 00:00:00,5.902,5.982,5.747,5.927,5745652.6
2025-02-15 04:00:00,5.928,6.104,5.853,6.007,9026853.8
2025-02-15 08:00:00,6.007,6.185,5.777,5.811,11236928.1
2025-02-15 12:00:00,5.811,5.829,5.63,5.65,5878225.7
2025-02-15 16:00:00,5.65,5.834,5.608,5.705,4574303.3
2025-02-15 20:00:00,5.705,5.729,5.614,5.647,2257622.0
2025-02-16 00:00:00,5.648,5.663,5.49,5.579,3814600.7
2025-02-16 04:00:00,5.578,5.679,5.482,5.547,3576271.0
2025-02-16 08:00:00,5.547,5.644,5.522,5.603,3626928.1
2025-02-16 12:00:00,5.602,5.64,5.524,5.593,3461852.8
2025-02-16 16:00:00,5.593,5.727,5.524,5.713,3012186.4
2025-02-16 20:00:00,5.713,5.754,5.6,5.607,2792394.4
2025-02-17 00:00:00,5.607,5.707,5.555,5.704,2662560.5
2025-02-17 04:00:00,5.703,5.835,5.608,5.78,4647988.3
2025-02-17 08:00:00,5.779,6.017,5.761,5.995,7063405.2
