datetime,open,high,low,close,volume
2023-04-01 00:00:00,0.558,0.562,0.556,0.561,5006345.3
2023-04-01 04:00:00,0.562,0.563,0.546,0.551,4558560.9
2023-04-01 08:00:00,0.55,0.554,0.543,0.549,4766791.5
2023-04-01 12:00:00,0.55,0.553,0.545,0.551,3950567.7
2023-04-01 16:00:00,0.55,0.555,0.546,0.553,5578105.6
2023-04-01 20:00:00,0.553,0.561,0.553,0.554,5524108.2
2023-04-02 00:00:00,0.555,0.587,0.551,0.578,24937011.2
2023-04-02 04:00:00,0.579,0.596,0.57,0.588,23549490.4
2023-04-02 08:00:00,0.588,0.629,0.582,0.621,74665210.0
2023-04-02 12:00:00,0.621,0.645,0.593,0.596,102425495.3
2023-04-02 16:00:00,0.597,0.615,0.594,0.603,35996326.3
2023-04-02 20:00:00,0.604,0.637,0.602,0.617,38684474.4
2023-04-03 00:00:00,0.618,0.642,0.579,0.583,63490735.6
2023-04-03 04:00:00,0.584,0.601,0.583,0.598,23711619.2
2023-04-03 08:00:00,0.599,0.604,0.59,0.598,18145891.6
2023-04-03 12:00:00,0.597,0.598,0.58,0.584,17063761.4
2023-04-03 16:00:00,0.583,0.584,0.567,0.573,18800483.9
2023-04-03 20:00:00,0.573,0.577,0.557,0.571,16768705.5
2023-04-04 00:00:00,0.572,0.581,0.57,0.578,6858813.5
2023-04-04 04:00:00,0.577,0.578,0.566,0.575,8240986.4
2023-04-04 08:00:00,0.575,0.579,0.568,0.574,8874151.7
2023-04-04 12:00:00,0.573,0.581,0.571,0.58,11119134.3
2023-04-04 16:00:00,0.579,0.598,0.576,0.579,15124136.4
2023-04-04 20:00:00,0.579,0.584,0.575,0.583,5216452.3
2023-04-05 00:00:00,0.582,0.594,0.575,0.591,10024107.4
2023-04-05 04:00:00,0.592,0.596,0.584,0.587,10035119.5
2023-04-05 08:00:00,0.587,0.605,0.584,0.596,15451597.0
2023-04-05 12:00:00,0.596,0.596,0.569,0.578,16591628.6
2023-04-05 16:00:00,0.579,0.581,0.57,0.577,9935260.5
2023-04-05 20:00:00,0.576,0.584,0.573,0.584,3732658.0
2023-04-06 00:00:00,0.584,0.585,0.57,0.573,7474643.6
2023-04-06 04:00:00,0.574,0.574,0.563,0.564,7004642.7
2023-04-06 08:00:00,0.563,0.569,0.56,0.567,7366180.3
2023-04-06 12:00:00,0.568,0.569,0.56,0.568,7639848.4
2023-04-06 16:00:00,0.568,0.57,0.562,0.566,5471424.3
2023-04-06 20:00:00,0.565,0.57,0.561,0.568,3568322.4
2023-04-07 00:00:00,0.568,0.576,0.564,0.57,6766238.7
2023-04-07 04:00:00,0.57,0.574,0.555,0.557,7468199.2
2023-04-07 08:00:00,0.556,0.564,0.553,0.561,7007118.3
2023-04-07 12:00:00,0.56,0.568,0.558,0.566,8296251.4
2023-04-07 16:00:00,0.566,0.568,0.558,0.561,5196256.9
2023-04-07 20:00:00,0.56,0.566,0.559,0.565,2524961.0
2023-04-08 00:00:00,0.566,0.571,0.561,0.569,4250285.8
2023-04-08 04:00:00,0.57,0.579,0.569,0.573,6498205.8
2023-04-08 08:00:00,0.573,0.576,0.568,0.571,4462235.7
2023-04-08 12:00:00,0.57,0.574,0.565,0.566,4413892.6
2023-04-08 16:00:00,0.566,0.568,0.559,0.561,3879019.0
2023-04-08 20:00:00,0.56,0.568,0.559,0.567,2744392.6
2023-04-09 00:00:00,0.568,0.577,0.567,0.57,4346109.7
2023-04-09 04:00:00,0.57,0.571,0.557,0.561,6640226.2
2023-04-09 08:00:00,0.561,0.567,0.559,0.565,4449822.0
2023-04-09 12:00:00,0.565,0.571,0.559,0.57,6939330.4
2023-04-09 16:00:00,0.57,0.583,0.569,0.576,11399695.1
2023-04-09 20:00:00,0.577,0.583,0.574,0.574,6036968.1
2023-04-10 00:00:00,0.575,0.583,0.569,0.574,7300286.5
2023-04-10 04:00:00,0.573,0.574,0.567,0.57,3110650.1
2023-04-10 08:00:00,0.569,0.579,0.569,0.574,4854685.5
2023-04-10 12:00:00,0.573,0.574,0.565,0.571,7408288.5
2023-04-10 16:00:00,0.571,0.583,0.567,0.578,12783398.6
2023-04-10 20:00:00,0.577,0.588,0.574,0.586,7448581.3
2023-04-11 00:00:00,0.586,0.594,0.58,0.589,9570447.4
2023-04-11 04:00:00,0.589,0.591,0.581,0.589,7863374.7
2023-04-11 08:00:00,0.588,0.59,0.58,0.584,8633963.8
2023-04-11 12:00:00,0.585,0.587,0.577,0.581,8236906.4
2023-04-11 16:00:00,0.582,0.585,0.576,0.579,7574293.8
2023-04-11 20:00:00,0.579,0.584,0.576,0.582,5052051.3
2023-04-12 00:00:00,0.583,0.584,0.557,0.562,9834900.5
2023-04-12 04:00:00,0.562,0.566,0.555,0.563,7372622.5
2023-04-12 08:00:00,0.563,0.565,0.559,0.561,6091818.8
2023-04-12 12:00:00,0.561,0.57,0.558,0.564,15646272.2
2023-04-12 16:00:00,0.565,0.568,0.56,0.563,8975048.4
2023-04-12 20:00:00,0.562,0.569,0.562,0.566,6314609.2
2023-04-13 00:00:00,0.567,0.571,0.563,0.57,7047476.4
2023-04-13 04:00:00,0.57,0.573,0.568,0.573,6661699.0
2023-04-13 08:00:00,0.573,0.59,0.572,0.578,10808800.7
2023-04-13 12:00:00,0.579,0.598,0.579,0.589,14176067.0
2023-04-13 16:00:00,0.589,0.597,0.586,0.595,6977353.8
2023-04-13 20:00:00,0.595,0.606,0.585,0.604,12726520.6
2023-04-14 00:00:00,0.605,0.614,0.596,0.601,18717816.5
2023-04-14 04:00:00,0.601,0.609,0.6,0.601,7671224.3
2023-04-14 08:00:00,0.601,0.63,0.601,0.623,14182499.9
2023-04-14 12:00:00,0.623,0.63,0.586,0.592,22104571.1
2023-04-14 16:00:00,0.591,0.609,0.589,0.608,10036243.9
2023-04-14 20:00:00,0.609,0.615,0.607,0.612,5982424.1
2023-04-15 00:00:00,0.611,0.622,0.607,0.609,8716514.9
2023-04-15 04:00:00,0.609,0.612,0.604,0.612,6774377.7
2023-04-15 08:00:00,0.611,0.621,0.606,0.618,6628321.7
2023-04-15 12:00:00,0.617,0.646,0.612,0.634,23453102.1
2023-04-15 16:00:00,0.635,0.645,0.63,0.638,14461387.0
2023-04-15 20:00:00,0.638,0.654,0.627,0.647,14428732.1
2023-04-16 00:00:00,0.646,0.682,0.63,0.679,44793224.2
2023-04-16 04:00:00,0.679,0.742,0.672,0.712,112115867.5
2023-04-16 08:00:00,0.713,0.728,0.681,0.686,40589227.1
2023-04-16 12:00:00,0.685,0.718,0.684,0.705,46362557.0
2023-04-16 16:00:00,0.706,0.74,0.686,0.689,36565728.5
2023-04-16 20:00:00,0.69,0.703,0.681,0.696,18005530.9
2023-04-17 00:00:00,0.696,0.697,0.66,0.674,29471930.0
2023-04-17 04:00:00,0.675,0.679,0.658,0.659,15437840.3
2023-04-17 08:00:00,0.659,0.666,0.646,0.656,18135777.4
2023-04-17 12:00:00,0.656,0.66,0.646,0.652,16074111.6
2023-04-17 16:00:00,0.652,0.666,0.65,0.656,11682980.8
2023-04-17 20:00:00,0.657,0.668,0.651,0.666,7562119.8
2023-04-18 00:00:00,0.666,0.672,0.64,0.664,15762574.7
2023-04-18 04:00:00,0.665,0.678,0.661,0.669,14413788.8
2023-04-18 08:00:00,0.67,0.706,0.662,0.696,27191930.5
2023-04-18 12:00:00,0.696,0.696,0.664,0.672,21658538.9
2023-04-18 16:00:00,0.672,0.678,0.666,0.67,8880118.0
2023-04-18 20:00:00,0.67,0.679,0.665,0.676,5466461.2
2023-04-19 00:00:00,0.676,0.684,0.662,0.675,11060419.8
2023-04-19 04:00:00,0.676,0.677,0.662,0.663,9120967.9
2023-04-19 08:00:00,0.663,0.663,0.576,0.622,30620180.2
2023-04-19 12:00:00,0.622,0.633,0.613,0.619,11678243.9
2023-04-19 16:00:00,0.619,0.626,0.613,0.616,8831075.3
2023-04-19 20:00:00,0.616,0.618,0.591,0.608,10622838.1
2023-04-20 00:00:00,0.607,0.611,0.595,0.606,9100608.0
2023-04-20 04:00:00,0.606,0.608,0.595,0.597,8559130.3
2023-04-20 08:00:00,0.596,0.605,0.593,0.596,7943434.9
2023-04-20 12:00:00,0.595,0.607,0.579,0.582,12786448.8
2023-04-20 16:00:00,0.581,0.588,0.571,0.579,15019997.7
2023-04-20 20:00:00,0.579,0.585,0.576,0.582,5872333.1
2023-04-21 00:00:00,0.583,0.591,0.578,0.586,7507629.8
2023-04-21 04:00:00,0.586,0.587,0.571,0.582,8073484.5
2023-04-21 08:00:00,0.583,0.584,0.568,0.572,9522235.4
2023-04-21 12:00:00,0.571,0.584,0.562,0.578,12693127.3
2023-04-21 16:00:00,0.578,0.579,0.539,0.545,15322158.2
2023-04-21 20:00:00,0.544,0.558,0.537,0.556,7564415.2
2023-04-22 00:00:00,0.557,0.557,0.547,0.556,6951462.8
