datetime,open,high,low,close,volume
2023-04-01 00:00:00,5.685,5.793,5.669,5.735,5556088.9
2023-04-01 04:00:00,5.734,5.778,5.509,5.63,7320913.6
2023-04-01 08:00:00,5.63,5.692,5.612,5.653,2992990.3
2023-04-01 12:00:00,5.652,5.668,5.589,5.639,3095063.5
2023-04-01 16:00:00,5.639,5.783,5.599,5.764,7404077.3
2023-04-01 20:00:00,5.764,5.8,5.715,5.761,4080654.5
2023-04-02 00:00:00,5.76,5.795,5.691,5.741,3372810.2
2023-04-02 04:00:00,5.741,5.746,5.694,5.729,1956037.8
2023-04-02 08:00:00,5.73,5.734,5.667,5.703,3147819.3
2023-04-02 12:00:00,5.704,5.707,5.523,5.546,8091162.2
2023-04-02 16:00:00,5.546,5.579,5.429,5.486,6142400.6
2023-04-02 20:00:00,5.487,5.558,5.46,5.545,3631200.7
2023-04-03 00:00:00,5.545,5.546,5.328,5.454,6914078.3
2023-04-03 04:00:00,5.455,5.494,5.432,5.494,3076808.0
2023-04-03 08:00:00,5.494,5.616,5.494,5.565,6470502.1
2023-04-03 12:00:00,5.564,5.599,5.471,5.519,5664824.1
2023-04-03 16:00:00,5.518,5.683,5.494,5.63,7142389.8
2023-04-03 20:00:00,5.63,5.672,5.369,5.57,10675337.7
2023-04-04 00:00:00,5.569,5.587,5.508,5.544,3954763.3
2023-04-04 04:00:00,5.543,5.59,5.512,5.552,2950303.8
2023-04-04 08:00:00,5.552,5.667,5.533,5.633,4956681.5
2023-04-04 12:00:00,5.634,5.666,5.5,5.59,6683307.7
2023-04-04 16:00:00,5.59,5.642,5.582,5.628,2715956.8
2023-04-04 20:00:00,5.628,5.661,5.58,5.613,2015378.4
2023-04-05 00:00:00,5.613,5.755,5.573,5.717,6053244.4
2023-04-05 04:00:00,5.717,5.79,5.715,5.745,4328257.8
2023-04-05 08:00:00,5.746,5.783,5.703,5.712,4194034.5
2023-04-05 12:00:00,5.713,5.737,5.537,5.606,10416067.4
2023-04-05 16:00:00,5.605,5.649,5.556,5.632,4695863.8
2023-04-05 20:00:00,5.631,5.675,5.615,5.667,2385172.0
2023-04-06 00:00:00,5.668,5.683,5.51,5.622,4829425.4
2023-04-06 04:00:00,5.623,5.624,5.534,5.545,2640557.6
2023-04-06 08:00:00,5.546,5.595,5.521,5.571,3826615.5
2023-04-06 12:00:00,5.571,5.626,5.536,5.611,4293593.0
2023-04-06 16:00:00,5.612,5.63,5.569,5.593,2202314.2
2023-04-06 20:00:00,5.592,5.615,5.543,5.597,2482812.2
2023-04-07 00:00:00,5.598,5.647,5.582,5.604,2658374.9
2023-04-07 04:00:00,5.605,5.641,5.51,5.525,3991387.2
2023-04-07 08:00:00,5.524,5.599,5.501,5.553,3872668.0
2023-04-07 12:00:00,5.554,5.94,5.543,5.908,22954463.8
2023-04-07 16:00:00,5.909,6.019,5.842,5.932,18842059.4
2023-04-07 20:00:00,5.933,5.933,5.704,5.785,12596815.3
2023-04-08 00:00:00,5.785,5.88,5.725,5.843,10412220.3
2023-04-08 04:00:00,5.844,5.904,5.835,5.861,6769766.9
2023-04-08 08:00:00,5.86,5.881,5.788,5.811,5697833.0
2023-04-08 12:00:00,5.812,5.918,5.747,5.824,8873892.1
2023-04-08 16:00:00,5.825,5.855,5.734,5.818,6281066.8
2023-04-08 20:00:00,5.817,5.846,5.745,5.763,4339794.8
2023-04-09 00:00:00,5.764,5.889,5.764,5.795,5701938.2
2023-04-09 04:00:00,5.795,5.818,5.638,5.705,6892395.7
2023-04-09 08:00:00,5.705,5.743,5.672,5.707,3495598.6
2023-04-09 12:00:00,5.707,5.729,5.607,5.649,5273140.0
2023-04-09 16:00:00,5.65,5.737,5.619,5.708,5065513.7
2023-04-09 20:00:00,5.709,5.794,5.696,5.744,4325677.8
2023-04-10 00:00:00,5.745,5.772,5.676,5.736,3626242.9
2023-04-10 04:00:00,5.736,5.74,5.675,5.691,2750233.0
2023-04-10 08:00:00,5.69,5.709,5.671,5.685,2260061.8
2023-04-10 12:00:00,5.684,5.749,5.666,5.73,3944158.6
2023-04-10 16:00:00,5.73,6.195,5.711,6.146,22326969.0
2023-04-10 20:00:00,6.145,6.239,6.067,6.171,15758851.1
2023-04-11 00:00:00,6.172,6.182,6.018,6.066,11656388.2
2023-04-11 04:00:00,6.067,6.15,6.042,6.117,6921123.9
2023-04-11 08:00:00,6.118,6.13,6.012,6.044,6713900.1
2023-04-11 12:00:00,6.043,6.06,5.945,6.002,9904663.1
2023-04-11 16:00:00,6.003,6.104,5.96,6.003,9690529.5
2023-04-11 20:00:00,6.003,6.121,5.966,6.111,6860882.9
2023-04-12 00:00:00,6.11,6.127,5.761,5.833,15441757.8
2023-04-12 04:00:00,5.832,5.995,5.824,5.965,6133163.7
2023-04-12 08:00:00,5.965,5.969,5.884,5.914,4343360.8
2023-04-12 12:00:00,5.915,6.074,5.88,5.998,16047311.0
2023-04-12 16:00:00,5.999,6.028,5.86,5.89,7297468.8
2023-04-12 20:00:00,5.889,5.989,5.884,5.962,3881194.1
2023-04-13 00:00:00,5.961,5.996,5.913,5.941,3999286.8
2023-04-13 04:00:00,5.941,5.958,5.902,5.948,2644509.5
2023-04-13 08:00:00,5.948,6.067,5.946,6.038,8521108.8
2023-04-13 12:00:00,6.039,6.105,6.011,6.067,8361496.0
