datetime,open,high,low,close,volume
2023-12-08 08:00:00,2.9288,3.146,2.86,2.8768,19639168.0
2023-12-08 12:00:00,2.8782,3.724,2.8016,3.4943,84057774.0
2023-12-08 16:00:00,3.493,3.765,3.168,3.2342,84402687.0
2023-12-08 20:00:00,3.2366,3.5905,3.1251,3.586,46987706.0
2023-12-09 00:00:00,3.586,3.6689,3.23,3.3709,30337311.0
2023-12-09 04:00:00,3.3703,3.676,3.3222,3.5591,29770660.0
2023-12-09 08:00:00,3.5591,3.98,3.4643,3.8758,80292477.0
2023-12-09 12:00:00,3.8757,4.3823,3.85,4.2606,119656014.0
2023-12-09 16:00:00,4.2596,4.4589,3.8521,4.0558,76277811.0
2023-12-09 20:00:00,4.0557,4.0944,3.23,3.3505,77137125.0
2023-12-10 00:00:00,3.3505,3.734,3.3488,3.543,44029126.0
2023-12-10 04:00:00,3.5433,3.6874,3.3333,3.4348,33416622.0
2023-12-10 08:00:00,3.4349,3.466,3.1926,3.274,49694363.0
2023-12-10 12:00:00,3.2744,3.4921,3.24,3.3943,41389637.0
2023-12-10 16:00:00,3.3938,3.4414,3.2672,3.3565,24309513.0
2023-12-10 20:00:00,3.3565,3.5763,3.34,3.4614,26224950.0
2023-12-11 00:00:00,3.4608,3.4758,2.44,3.0882,65846316.0
2023-12-11 04:00:00,3.0888,3.1699,2.95,3.0003,31270195.0
2023-12-11 08:00:00,3.0006,3.1275,2.8781,3.1193,29856231.0
2023-12-11 12:00:00,3.1193,3.1444,2.86,2.9428,40796308.0
2023-12-11 16:00:00,2.9418,3.0226,2.754,2.9172,44819385.0
2023-12-11 20:00:00,2.9176,3.0579,2.8672,3.0033,20741235.0
2023-12-12 00:00:00,3.0033,3.358,2.9501,3.2775,30060397.0
2023-12-12 04:00:00,3.2773,3.3124,3.0923,3.2024,30329761.0
2023-12-12 08:00:00,3.2018,3.2774,3.0164,3.0194,30290656.0
2023-12-12 12:00:00,3.0195,3.0355,2.81,2.8592,48922215.0
2023-12-12 16:00:00,2.8583,2.935,2.8,2.9131,25741114.0
2023-12-12 20:00:00,2.9131,2.9637,2.83,2.9615,12420334.0
2023-12-13 00:00:00,2.9615,2.9883,2.6071,2.641,27429523.0
2023-12-13 04:00:00,2.6412,2.7247,2.6029,2.6817,19982543.0
2023-12-13 08:00:00,2.6817,2.7357,2.6221,2.6415,16043311.0
2023-12-13 12:00:00,2.641,2.7408,2.6305,2.7174,24439848.0
2023-12-13 16:00:00,2.7173,2.87,2.627,2.7878,34691729.0
2023-12-13 20:00:00,2.7869,2.9446,2.771,2.8394,26692390.0
2023-12-14 00:00:00,2.8395,3.0911,2.776,3.023,32147573.0
2023-12-14 04:00:00,3.0229,3.1816,2.9618,3.1279,34606753.0
2023-12-14 08:00:00,3.1267,3.1409,2.97,3.0465,25725027.0
2023-12-14 12:00:00,3.0465,3.0465,2.7,2.9019,41529504.0
2023-12-14 16:00:00,2.9021,3.05,2.9019,3.0212,26071470.0
2023-12-14 20:00:00,3.0212,3.468,2.9787,3.4637,41069108.0
2023-12-15 00:00:00,3.4655,3.6326,3.289,3.4009,46567990.0
2023-12-15 04:00:00,3.4009,3.4098,3.1568,3.2687,32905017.0
2023-12-15 08:00:00,3.2687,3.4812,3.2009,3.3475,32221140.0
2023-12-15 12:00:00,3.3463,3.3568,2.9601,3.081,45993669.0
2023-12-15 16:00:00,3.081,3.1548,2.9804,3.1353,23514158.0
2023-12-15 20:00:00,3.1353,3.2466,2.8081,2.8424,33897641.0
2023-12-16 00:00:00,2.842,2.9606,2.8,2.9276,20846626.0
2023-12-16 04:00:00,2.9277,2.9325,2.8526,2.9069,14157435.0
2023-12-16 08:00:00,2.9069,2.9798,2.9031,2.9545,14112244.0
2023-12-16 12:00:00,2.9542,3.0305,2.9147,2.9836,18063094.0
2023-12-16 16:00:00,2.9835,3.2049,2.9124,2.9373,36880080.0
2023-12-16 20:00:00,2.9374,2.9702,2.8821,2.9261,14321011.0
2023-12-17 00:00:00,2.9267,2.9697,2.8266,2.8696,13081955.0
2023-12-17 04:00:00,2.8697,2.8908,2.75,2.7593,16526134.0
2023-12-17 08:00:00,2.7593,2.8386,2.73,2.7959,12766457.0
2023-12-17 12:00:00,2.7956,2.8357,2.69,2.8078,21016684.0
2023-12-17 16:00:00,2.8085,2.871,2.761,2.7748,13540870.0
2023-12-17 20:00:00,2.7748,2.8099,2.69,2.7077,9526554.0
2023-12-18 00:00:00,2.7078,2.7438,2.6111,2.657,14972810.0
2023-12-18 04:00:00,2.6571,2.6865,2.4521,2.464,22988320.0
2023-12-18 08:00:00,2.464,2.4866,2.2252,2.3595,44273661.0
2023-12-18 12:00:00,2.3594,2.456,2.3281,2.3748,21639201.0
2023-12-18 16:00:00,2.3748,2.3985,2.3332,2.3671,12771203.0
2023-12-18 20:00:00,2.3668,2.5134,2.341,2.5045,17052030.0
2023-12-19 00:00:00,2.5045,2.655,2.4633,2.5459,17651053.0
2023-12-19 04:00:00,2.546,2.5936,2.5112,2.5411,12562376.0
2023-12-19 08:00:00,2.5412,2.595,2.436,2.4829,19230619.0
2023-12-19 12:00:00,2.4829,2.5017,2.3507,2.4298,18787992.0
2023-12-19 16:00:00,2.4297,2.4428,2.3607,2.4086,11095329.0
2023-12-19 20:00:00,2.4083,2.4111,2.3323,2.3752,9365297.0
2023-12-20 00:00:00,2.375,2.4343,2.334,2.3967,10280680.0
2023-12-20 04:00:00,2.397,2.5279,2.3846,2.4734,14438975.0
2023-12-20 08:00:00,2.4729,2.656,2.4371,2.5992,21837740.0
2023-12-20 12:00:00,2.5991,2.7416,2.571,2.7096,39584400.0
2023-12-20 16:00:00,2.7102,2.8273,2.6015,2.6756,29482353.0
