datetime,open,high,low,close,volume
2023-04-01 00:00:00,89.54,94.25,89.32,93.28,1497727.962
2023-04-01 04:00:00,93.27,93.89,92.1,93.43,960748.112
2023-04-01 08:00:00,93.44,93.74,92.75,93.26,596376.73
2023-04-01 12:00:00,93.25,94.31,92.5,92.9,963450.281
2023-04-01 16:00:00,92.91,93.15,91.64,92.41,517340.059
2023-04-01 20:00:00,92.4,93.1,92.01,92.51,315645.887
2023-04-02 00:00:00,92.5,93.98,92.26,92.53,556551.388
2023-04-02 04:00:00,92.53,94.58,92.4,94.15,790473.53
2023-04-02 08:00:00,94.15,94.23,93.15,93.54,545372.054
2023-04-02 12:00:00,93.55,94.58,91.01,92.46,1698357.352
2023-04-02 16:00:00,92.46,93.13,90.26,90.85,951443.353
2023-04-02 20:00:00,90.86,93.25,90.5,92.75,676358.578
2023-04-03 00:00:00,92.75,93.5,90.3,90.88,1006490.659
2023-04-03 04:00:00,90.88,91.86,90.63,91.72,489438.327
2023-04-03 08:00:00,91.72,93.32,91.65,92.52,860374.687
2023-04-03 12:00:00,92.53,93.33,91.08,91.85,820812.396
2023-04-03 16:00:00,91.85,95.87,91.25,93.39,1867571.511
2023-04-03 20:00:00,93.38,93.59,89.25,92.93,1486685.574
2023-04-04 00:00:00,92.93,93.5,91.96,92.22,468170.532
2023-04-04 04:00:00,92.21,92.72,91.53,92.04,437624.068
2023-04-04 08:00:00,92.04,93.99,91.74,93.61,750532.259
2023-04-04 12:00:00,93.62,94.06,92.24,92.61,787475.534
2023-04-04 16:00:00,92.61,93.32,92.44,92.8,377638.998
2023-04-04 20:00:00,92.8,93.28,91.75,92.51,354981.158
2023-04-05 00:00:00,92.51,94.4,91.74,93.84,832575.359
2023-04-05 04:00:00,93.84,95.09,93.56,94.89,527481.659
2023-04-05 08:00:00,94.88,95.0,94.21,94.65,506503.536
2023-04-05 12:00:00,94.65,94.89,91.0,92.09,1497377.538
2023-04-05 16:00:00,92.09,92.86,91.42,92.66,504926.274
2023-04-05 20:00:00,92.66,92.82,92.01,92.57,291850.154
2023-04-06 00:00:00,92.57,92.61,91.08,92.44,455194.853
2023-04-06 04:00:00,92.45,92.47,90.77,90.93,388401.401
2023-04-06 08:00:00,90.93,91.54,89.7,90.81,750195.29
2023-04-06 12:00:00,90.8,91.47,90.38,91.14,512493.318
2023-04-06 16:00:00,91.14,91.48,90.52,90.88,288550.252
2023-04-06 20:00:00,90.88,91.15,90.33,90.92,248762.205
2023-04-07 00:00:00,90.92,91.44,90.48,90.73,262042.666
2023-04-07 04:00:00,90.74,91.18,89.01,89.56,476786.566
2023-04-07 08:00:00,89.56,90.43,89.23,89.88,351457.938
2023-04-07 12:00:00,89.87,90.85,89.6,90.5,412483.961
2023-04-07 16:00:00,90.5,90.65,89.99,90.26,201779.605
2023-04-07 20:00:00,90.27,90.74,89.89,90.56,176008.174
