datetime,open,high,low,close,volume
2023-04-01 00:00:00,0.3572,0.3654,0.3564,0.3598,11537125.0
2023-04-01 04:00:00,0.3597,0.3615,0.3523,0.3536,8886922.0
2023-04-01 08:00:00,0.3536,0.3555,0.351,0.3525,6845159.0
2023-04-01 12:00:00,0.3525,0.3534,0.3476,0.3516,7951349.0
2023-04-01 16:00:00,0.3515,0.3554,0.3486,0.3523,9797218.0
2023-04-01 20:00:00,0.3524,0.357,0.3522,0.3559,5635567.0
2023-04-02 00:00:00,0.3558,0.3584,0.35,0.353,6359811.0
2023-04-02 04:00:00,0.3529,0.3576,0.3512,0.3575,4083013.0
2023-04-02 08:00:00,0.3575,0.3575,0.3535,0.3549,4994068.0
2023-04-02 12:00:00,0.3549,0.3557,0.338,0.3416,15517857.0
2023-04-02 16:00:00,0.3416,0.3452,0.338,0.3413,11327881.0
2023-04-02 20:00:00,0.3413,0.3447,0.3389,0.3442,6867044.0
2023-04-03 00:00:00,0.3441,0.3446,0.3307,0.3373,12689171.0
2023-04-03 04:00:00,0.3373,0.3414,0.3352,0.3414,5393250.0
2023-04-03 08:00:00,0.3415,0.3466,0.3407,0.3426,10249413.0
2023-04-03 12:00:00,0.3426,0.3453,0.3366,0.3401,10036210.0
2023-04-03 16:00:00,0.3402,0.3497,0.3376,0.3467,14969599.0
2023-04-03 20:00:00,0.3467,0.3483,0.3303,0.3442,20200284.0
2023-04-04 00:00:00,0.3442,0.3456,0.3379,0.3386,6573295.0
2023-04-04 04:00:00,0.3386,0.341,0.336,0.3384,5310510.0
2023-04-04 08:00:00,0.3383,0.3466,0.3365,0.3462,7745304.0
2023-04-04 12:00:00,0.3461,0.3588,0.3452,0.3525,25279475.0
2023-04-04 16:00:00,0.3526,0.3577,0.3518,0.3568,7655577.0
2023-04-04 20:00:00,0.3568,0.3604,0.3544,0.3564,8204537.0
2023-04-05 00:00:00,0.3565,0.3647,0.3515,0.3642,11864050.0
2023-04-05 04:00:00,0.3642,0.3658,0.3597,0.3623,7416194.0
2023-04-05 08:00:00,0.3624,0.3644,0.36,0.363,7821254.0
2023-04-05 12:00:00,0.363,0.3641,0.35,0.3566,18055657.0
2023-04-05 16:00:00,0.3566,0.3596,0.3526,0.3581,9079019.0
2023-04-05 20:00:00,0.3582,0.3611,0.3563,0.3605,5294340.0
2023-04-06 00:00:00,0.3605,0.361,0.3483,0.3554,11533885.0
2023-04-06 04:00:00,0.3554,0.3631,0.3513,0.3545,9989602.0
2023-04-06 08:00:00,0.3546,0.358,0.3503,0.3572,10656909.0
2023-04-06 12:00:00,0.3572,0.3607,0.352,0.3601,10420592.0
2023-04-06 16:00:00,0.3602,0.3645,0.3576,0.3582,11870469.0
2023-04-06 20:00:00,0.3583,0.3595,0.3539,0.3583,6415574.0
2023-04-07 00:00:00,0.35835,0.3634,0.3523,0.3536,11154120.0
2023-04-07 04:00:00,0.3537,0.3595,0.349,0.3499,8758773.0
2023-04-07 08:00:00,0.3499,0.3526,0.3474,0.3495,7809101.0
2023-04-07 12:00:00,0.3495,0.3585,0.348,0.3581,12036439.0
2023-04-07 16:00:00,0.3581,0.359,0.3542,0.3563,4900026.0
2023-04-07 20:00:00,0.3563,0.3601,0.3548,0.3594,5397054.0
2023-04-08 00:00:00,0.3594,0.3614,0.3535,0.3581,8255124.0
2023-04-08 04:00:00,0.358,0.364,0.3554,0.3595,10418475.0
