datetime,open,high,low,close,volume
2024-12-10 12:00:00,4.494,5.0723,4.3778,4.5961,4560112.4
2024-12-10 16:00:00,4.5958,4.8887,4.4606,4.8415,3178447.6
2024-12-10 20:00:00,4.8421,4.9998,4.807,4.8934,1483622.9
2024-12-11 00:00:00,4.8896,5.0935,4.7878,4.9831,1438761.5
2024-12-11 04:00:00,4.9866,5.1023,4.8923,5.0049,1751494.0
2024-12-11 08:00:00,5.005,5.8224,5.0025,5.5586,13508038.6
2024-12-11 12:00:00,5.5586,5.6499,5.24,5.4981,5364234.7
2024-12-11 16:00:00,5.4981,5.8311,5.4386,5.4536,2091852.5
2024-12-11 20:00:00,5.4545,5.5531,5.388,5.3971,623510.8
2024-12-12 00:00:00,5.3971,5.6093,5.3125,5.48,1219822.6
2024-12-12 04:00:00,5.479,5.6565,5.42,5.5838,1050377.3
2024-12-12 08:00:00,5.5837,5.7215,5.404,5.4502,1099170.5
2024-12-12 12:00:00,5.4505,5.597,5.4165,5.4528,814372.2
2024-12-12 16:00:00,5.4534,5.5063,5.2,5.2736,849564.4
2024-12-12 20:00:00,5.2721,5.3617,5.2536,5.3544,624419.7
2024-12-13 00:00:00,5.3538,5.598,5.3268,5.354,905306.2
2024-12-13 04:00:00,5.3544,5.3971,5.1501,5.2054,667380.3
2024-12-13 08:00:00,5.2059,5.325,5.1634,5.2813,489181.5
2024-12-13 12:00:00,5.2813,5.6482,5.2812,5.4973,985812.6
2024-12-13 16:00:00,5.4948,5.5398,5.3506,5.4127,580723.5
2024-12-13 20:00:00,5.4119,5.454,5.2359,5.2928,443515.1
2024-12-14 00:00:00,5.2924,5.4857,5.2618,5.4799,462106.5
2024-12-14 04:00:00,5.4802,5.586,5.4078,5.5163,623904.1
2024-12-14 08:00:00,5.5174,5.6393,5.48,5.4992,1172699.4
2024-12-14 12:00:00,5.4993,5.558,5.3763,5.4314,967119.5
2024-12-14 16:00:00,5.4304,5.4312,5.2393,5.288,533693.4
2024-12-14 20:00:00,5.2889,5.4371,5.1924,5.3464,567566.4
2024-12-15 00:00:00,5.3471,5.4737,5.2717,5.2743,776056.5
2024-12-15 04:00:00,5.2747,5.4064,5.071,5.1215,750417.9
2024-12-15 08:00:00,5.1215,5.3161,5.0966,5.2915,476275.6
2024-12-15 12:00:00,5.2915,5.371,5.2528,5.3102,523267.4
2024-12-15 16:00:00,5.3076,5.3667,5.2594,5.3229,246458.3
2024-12-15 20:00:00,5.3243,5.48,5.1359,5.4345,661358.0
2024-12-16 00:00:00,5.4348,5.5958,5.3501,5.3759,838746.7
2024-12-16 04:00:00,5.3759,5.4279,5.2332,5.2867,530243.2
2024-12-16 08:00:00,5.2867,5.2906,5.072,5.1103,702226.1
2024-12-16 12:00:00,5.1084,5.2262,5.0927,5.1296,585557.9
2024-12-16 16:00:00,5.1295,5.2753,5.125,5.1698,503002.8
2024-12-16 20:00:00,5.1684,5.2111,5.0863,5.1042,278280.2
2024-12-17 00:00:00,5.1044,5.1115,4.8555,4.9177,1039344.9
2024-12-17 04:00:00,4.917,4.9204,4.8102,4.8398,507197.7
2024-12-17 08:00:00,4.8408,4.9761,4.8108,4.9392,644824.7
2024-12-17 12:00:00,4.9392,5.0766,4.807,4.8964,1044323.8
2024-12-17 16:00:00,4.8964,5.2294,4.8619,5.1695,1090367.1
2024-12-17 20:00:00,5.1704,5.2109,4.9553,5.0211,401860.0
2024-12-18 00:00:00,5.0212,5.107,4.7957,4.8274,692327.6
2024-12-18 04:00:00,4.827,4.8875,4.7388,4.8018,672511.0
2024-12-18 08:00:00,4.8023,4.8868,4.7727,4.885,420396.3
2024-12-18 12:00:00,4.8832,4.9046,4.7465,4.8416,650074.4
2024-12-18 16:00:00,4.8416,4.9131,4.7159,4.735,328801.5
2024-12-18 20:00:00,4.7345,4.7644,4.4383,4.4522,1697289.9
2024-12-19 00:00:00,4.4525,4.724,4.3138,4.7164,1236275.6
2024-12-19 04:00:00,4.7176,4.8247,4.6375,4.8082,773975.9
2024-12-19 08:00:00,4.8085,4.8144,4.6572,4.7073,628587.7
2024-12-19 12:00:00,4.7078,4.7388,4.4569,4.545,927996.9
2024-12-19 16:00:00,4.5444,4.5448,4.181,4.318,1749850.3
2024-12-19 20:00:00,4.3196,4.5405,4.2149,4.3906,1125949.1
2024-12-20 00:00:00,4.3914,4.5819,4.3512,4.4847,549832.8
2024-12-20 04:00:00,4.4857,4.5108,4.3038,4.3831,460835.7
2024-12-20 08:00:00,4.3847,4.391,3.7881,3.8188,2026176.8
2024-12-20 12:00:00,3.8202,4.279,3.8129,4.2654,1461731.9
2024-12-20 16:00:00,4.263,4.482,4.2296,4.4472,885831.5
2024-12-20 20:00:00,4.4459,4.7373,4.3712,4.7373,583291.5
2024-12-21 00:00:00,4.7366,4.7481,4.6031,4.6395,552090.0
2024-12-21 04:00:00,4.64,4.867,4.623,4.806,515317.3
2024-12-21 08:00:00,4.8047,4.8214,4.583,4.6225,545390.5
