datetime,open,high,low,close,volume
2024-09-09 12:00:00,11.93,12.42,11.2,11.54,1477167.4
2024-09-09 16:00:00,11.54,12.21,11.2,11.84,1175263.3
2024-09-09 20:00:00,11.85,12.0,11.46,11.65,725915.7
2024-09-10 00:00:00,11.66,11.71,11.3,11.59,561482.8
2024-09-10 04:00:00,11.59,11.85,11.41,11.74,651986.6
2024-09-10 08:00:00,11.72,12.29,11.46,11.75,1333325.3
2024-09-10 12:00:00,11.75,11.87,11.38,11.43,559235.9
2024-09-10 16:00:00,11.42,11.54,11.05,11.29,520814.9
2024-09-10 20:00:00,11.28,11.42,11.18,11.26,259903.3
2024-09-11 00:00:00,11.25,11.3,10.65,10.73,828256.9
2024-09-11 04:00:00,10.73,10.82,10.37,10.7,635615.0
2024-09-11 08:00:00,10.7,10.7,10.35,10.45,365354.8
2024-09-11 12:00:00,10.45,10.45,9.89,10.2,1173855.4
2024-09-11 16:00:00,10.19,10.37,10.03,10.21,504314.8
2024-09-11 20:00:00,10.19,10.48,10.1,10.14,707712.6
2024-09-12 00:00:00,10.13,10.32,10.1,10.23,271761.0
2024-09-12 04:00:00,10.22,10.3,10.12,10.16,241747.9
2024-09-12 08:00:00,10.15,10.28,10.13,10.21,183972.5
2024-09-12 12:00:00,10.21,10.26,9.94,10.04,401240.0
2024-09-12 16:00:00,10.04,10.22,10.02,10.21,204427.6
2024-09-12 20:00:00,10.21,10.26,10.11,10.23,165450.9
2024-09-13 00:00:00,10.24,10.28,10.12,10.14,137876.0
2024-09-13 04:00:00,10.13,10.19,10.09,10.13,124232.2
2024-09-13 08:00:00,10.13,10.26,10.04,10.09,157250.5
2024-09-13 12:00:00,10.09,10.28,10.06,10.24,215764.9
2024-09-13 16:00:00,10.24,10.46,10.23,10.34,189209.2
2024-09-13 20:00:00,10.34,10.49,10.23,10.28,131469.7
2024-09-14 00:00:00,10.28,10.48,10.24,10.43,101227.4
2024-09-14 04:00:00,10.44,10.45,10.27,10.35,147845.4
2024-09-14 08:00:00,10.35,10.38,10.2,10.25,99421.2
2024-09-14 12:00:00,10.26,10.3,10.18,10.25,69583.2
2024-09-14 16:00:00,10.24,10.27,10.1,10.15,81030.2
2024-09-14 20:00:00,10.15,10.31,10.13,10.25,80619.5
2024-09-15 00:00:00,10.25,10.37,10.25,10.29,60143.6
2024-09-15 04:00:00,10.3,10.31,10.19,10.24,65315.6
2024-09-15 08:00:00,10.23,10.25,10.14,10.2,102852.0
2024-09-15 12:00:00,10.19,10.32,10.17,10.3,80426.9
2024-09-15 16:00:00,10.29,10.3,10.13,10.19,85029.0
2024-09-15 20:00:00,10.18,10.18,9.71,9.86,222588.5
2024-09-16 00:00:00,9.86,9.88,9.51,9.64,214775.7
2024-09-16 04:00:00,9.64,9.8,9.59,9.73,91205.6
2024-09-16 08:00:00,9.73,9.79,9.53,9.59,125266.6
2024-09-16 12:00:00,9.58,9.61,9.28,9.4,231565.1
2024-09-16 16:00:00,9.4,9.44,9.2,9.23,136221.6
2024-09-16 20:00:00,9.23,9.44,9.19,9.37,86381.3
2024-09-17 00:00:00,9.37,9.49,9.3,9.45,63712.5
2024-09-17 04:00:00,9.45,9.62,9.45,9.56,53634.4
2024-09-17 08:00:00,9.57,9.64,9.47,9.53,78223.0
2024-09-17 12:00:00,9.53,9.8,9.5,9.75,150103.5
2024-09-17 16:00:00,9.75,9.8,9.43,9.54,114936.9
2024-09-17 20:00:00,9.54,9.65,9.48,9.65,64190.2
2024-09-18 00:00:00,9.65,9.77,9.46,9.7,97517.1
2024-09-18 04:00:00,9.7,9.75,9.61,9.67,60247.9
2024-09-18 08:00:00,9.67,9.68,9.41,9.5,74381.5
2024-09-18 12:00:00,9.5,9.57,9.29,9.33,86267.2
2024-09-18 16:00:00,9.33,9.76,9.3,9.56,201766.4
2024-09-18 20:00:00,9.56,9.85,9.47,9.85,86546.9
2024-09-19 00:00:00,9.85,10.13,9.81,10.05,177444.9
2024-09-19 04:00:00,10.05,10.09,9.87,10.01,146027.3
2024-09-19 08:00:00,10.0,10.1,9.85,10.03,114345.9
2024-09-19 12:00:00,10.03,10.15,9.99,10.08,136814.3
2024-09-19 16:00:00,10.07,10.38,10.06,10.27,197598.9
2024-09-19 20:00:00,10.26,10.44,10.15,10.31,113253.3
2024-09-20 00:00:00,10.31,10.64,10.13,10.62,193621.0
2024-09-20 04:00:00,10.61,10.678,10.44,10.605,284379.7
2024-09-20 08:00:00,10.606,10.792,10.471,10.531,375142.0
2024-09-20 12:00:00,10.534,10.8,10.326,10.641,298071.3
2024-09-20 16:00:00,10.64,10.873,10.556,10.698,248370.1
2024-09-20 20:00:00,10.7,10.817,10.64,10.788,70843.1
2024-09-21 00:00:00,10.79,10.94,10.401,10.417,125178.5
2024-09-21 04:00:00,10.41,10.552,10.095,10.459,102622.9
2024-09-21 08:00:00,10.459,10.526,10.346,10.396,91809.2
2024-09-21 12:00:00,10.397,10.52,10.31,10.44,104620.1
2024-09-21 16:00:00,10.439,10.58,10.427,10.511,73274.5
2024-09-21 20:00:00,10.51,10.669,10.46,10.629,31728.2
2024-09-22 00:00:00,10.633,10.666,10.301,10.375,75658.9
2024-09-22 04:00:00,10.375,10.588,10.357,10.536,61405.3
2024-09-22 08:00:00,10.536,10.801,10.421,10.736,158284.6
2024-09-22 12:00:00,10.731,10.93,10.532,10.736,268491.3
2024-09-22 16:00:00,10.736,11.422,10.633,11.29,1346797.7
