datetime,open,high,low,close,volume
2023-04-01 00:00:00,0.6562,0.6634,0.6088,0.6188,443802681.8
2023-04-01 04:00:00,0.6188,0.629,0.5954,0.6072,253761954.5
2023-04-01 08:00:00,0.6073,0.6182,0.5913,0.6038,263754614.0
2023-04-01 12:00:00,0.6038,0.6169,0.5986,0.6051,210727930.1
2023-04-01 16:00:00,0.6051,0.6072,0.5898,0.5948,125009643.6
2023-04-01 20:00:00,0.5948,0.746,0.593,0.713,522090115.0
2023-04-02 00:00:00,0.7132,0.7247,0.653,0.6778,449077091.5
2023-04-02 04:00:00,0.6777,0.71,0.6684,0.7032,399368502.6
2023-04-02 08:00:00,0.7032,0.7033,0.6656,0.6747,292595099.1
2023-04-02 12:00:00,0.6746,0.6907,0.6601,0.679,298186082.4
2023-04-02 16:00:00,0.679,0.7095,0.668,0.6867,333848923.8
2023-04-02 20:00:00,0.6867,0.7347,0.6832,0.7026,461165156.6
2023-04-03 00:00:00,0.7029,0.7144,0.6471,0.663,338299260.9
2023-04-03 04:00:00,0.6629,0.725,0.6565,0.7147,388937911.6
2023-04-03 08:00:00,0.7147,0.7669,0.7046,0.7589,932435572.4
2023-04-03 12:00:00,0.7589,0.8548,0.756,0.8475,1205138727.5
2023-04-03 16:00:00,0.8475,0.8482,0.8006,0.8326,760167511.7
2023-04-03 20:00:00,0.8326,0.9392,0.807,0.9322,658747955.5
2023-04-04 00:00:00,0.9323,0.9326,0.8211,0.8293,552088079.6
2023-04-04 04:00:00,0.8293,0.8356,0.7752,0.8016,352480584.2
2023-04-04 08:00:00,0.8016,0.843,0.7815,0.8346,276672540.7
2023-04-04 12:00:00,0.8345,0.8404,0.8048,0.8172,238404143.4
2023-04-04 16:00:00,0.8172,0.8223,0.787,0.7981,123672556.6
2023-04-04 20:00:00,0.7981,0.828,0.7977,0.8135,122255381.6
2023-04-05 00:00:00,0.8134,0.826,0.7853,0.7989,174397512.6
2023-04-05 04:00:00,0.7988,0.8394,0.7975,0.8048,171623767.2
2023-04-05 08:00:00,0.8048,0.8118,0.795,0.7996,107582730.7
2023-04-05 12:00:00,0.7996,0.8059,0.7556,0.762,203726343.7
2023-04-05 16:00:00,0.7625,0.7702,0.735,0.7479,141262348.4
2023-04-05 20:00:00,0.7478,0.7508,0.7254,0.7391,121415408.7
2023-04-06 00:00:00,0.739,0.7658,0.703,0.7516,280663945.2
2023-04-06 04:00:00,0.7515,0.7689,0.7264,0.7298,125231681.4
2023-04-06 08:00:00,0.7299,0.747,0.7141,0.7191,128439705.8
2023-04-06 12:00:00,0.7191,0.7752,0.7181,0.7527,198758675.7
2023-04-06 16:00:00,0.7527,0.7536,0.7188,0.7212,66967798.2
2023-04-06 20:00:00,0.7213,0.7327,0.7134,0.7221,54702480.4
2023-04-07 00:00:00,0.722,0.7242,0.7043,0.7209,80787360.0
2023-04-07 04:00:00,0.7209,0.732,0.6933,0.6988,82667969.9
