datetime,open,high,low,close,volume
2023-04-01 00:00:00,6.061,6.114,6.049,6.093,659490.0
2023-04-01 04:00:00,6.093,6.108,6.017,6.069,811077.0
2023-04-01 08:00:00,6.069,6.193,6.058,6.141,1489899.0
2023-04-01 12:00:00,6.142,6.19,6.075,6.088,1131458.0
2023-04-01 16:00:00,6.089,6.12,6.045,6.088,1104066.0
2023-04-01 20:00:00,6.088,6.123,6.072,6.096,510998.0
2023-04-02 00:00:00,6.096,6.118,6.03,6.088,771882.0
2023-04-02 04:00:00,6.088,6.091,6.039,6.048,760768.0
2023-04-02 08:00:00,6.049,6.065,5.994,6.012,1077495.0
2023-04-02 12:00:00,6.01,6.034,5.877,5.944,1833884.0
2023-04-02 16:00:00,5.945,5.985,5.881,5.923,888004.0
2023-04-02 20:00:00,5.924,5.949,5.883,5.944,687323.0
2023-04-03 00:00:00,5.944,5.956,5.808,5.894,1421446.0
2023-04-03 04:00:00,5.895,5.939,5.874,5.938,667080.0
2023-04-03 08:00:00,5.937,6.078,5.937,5.991,1836854.0
2023-04-03 12:00:00,5.99,6.037,5.909,5.947,1303782.0
2023-04-03 16:00:00,5.948,6.081,5.92,6.035,1537069.0
2023-04-03 20:00:00,6.035,6.043,5.834,5.926,2421126.0
2023-04-04 00:00:00,5.926,5.959,5.887,5.89,946097.0
2023-04-04 04:00:00,5.891,5.952,5.872,5.935,843065.0
2023-04-04 08:00:00,5.935,6.08,5.934,6.071,2067926.0
2023-04-04 12:00:00,6.072,6.144,6.063,6.096,1757997.0
2023-04-04 16:00:00,6.097,6.161,6.085,6.146,1226830.0
2023-04-04 20:00:00,6.146,6.206,6.142,6.151,885087.0
2023-04-05 00:00:00,6.151,6.305,6.124,6.29,1806245.0
2023-04-05 04:00:00,6.29,6.344,6.281,6.322,969343.0
2023-04-05 08:00:00,6.322,6.334,6.281,6.301,898513.0
2023-04-05 12:00:00,6.302,6.321,6.142,6.181,2343537.0
2023-04-05 16:00:00,6.181,6.243,6.152,6.209,993548.0
2023-04-05 20:00:00,6.21,6.237,6.186,6.228,569832.0
2023-04-06 00:00:00,6.227,6.238,6.143,6.233,896174.0
2023-04-06 04:00:00,6.232,6.237,6.152,6.168,744043.0
2023-04-06 08:00:00,6.168,6.184,6.049,6.113,1661008.0
2023-04-06 12:00:00,6.114,6.148,6.063,6.132,1150542.0
2023-04-06 16:00:00,6.132,6.145,6.078,6.099,656501.0
2023-04-06 20:00:00,6.099,6.107,6.031,6.072,979458.0
2023-04-07 00:00:00,6.073,6.099,6.036,6.069,817358.0
