datetime,open,high,low,close,volume
2024-12-10 12:00:00,1.4101,1.74,1.4101,1.5574,22789242.8
2024-12-10 16:00:00,1.5574,1.6071,1.4952,1.5916,14593659.0
2024-12-10 20:00:00,1.5921,1.6097,1.5534,1.5622,4377514.2
2024-12-11 00:00:00,1.5624,1.5751,1.497,1.5537,4389523.5
2024-12-11 04:00:00,1.555,1.6467,1.5502,1.5954,8048071.9
2024-12-11 08:00:00,1.5964,1.7424,1.5954,1.684,10747137.2
2024-12-11 12:00:00,1.6832,1.794,1.6602,1.7507,9128175.2
2024-12-11 16:00:00,1.7501,1.823,1.7318,1.7992,5869768.4
2024-12-11 20:00:00,1.7992,1.9606,1.7958,1.9109,10798703.2
2024-12-12 00:00:00,1.9116,1.9732,1.8185,1.9387,15877171.3
2024-12-12 04:00:00,1.9388,1.95,1.8427,1.8519,7298560.4
2024-12-12 08:00:00,1.8522,1.9075,1.8335,1.9036,6290561.6
2024-12-12 12:00:00,1.9039,1.9795,1.8714,1.9258,10378395.6
2024-12-12 16:00:00,1.9256,2.0286,1.8822,1.9358,14209154.4
2024-12-12 20:00:00,1.9363,2.1815,1.9326,2.1771,15159266.3
2024-12-13 00:00:00,2.1777,2.2562,2.1028,2.2285,19540543.0
2024-12-13 04:00:00,2.2285,2.3997,2.1256,2.355,29555180.8
2024-12-13 08:00:00,2.3541,2.3964,2.2658,2.3184,29977295.8
2024-12-13 12:00:00,2.3178,2.39,2.2522,2.3382,30866526.7
2024-12-13 16:00:00,2.3382,2.45,2.3117,2.4062,37184879.4
2024-12-13 20:00:00,2.4062,2.6255,2.4029,2.4601,33753074.9
2024-12-14 00:00:00,2.46,2.5631,2.435,2.5123,16026479.1
2024-12-14 04:00:00,2.5122,2.5234,2.4229,2.4692,11413009.7
2024-12-14 08:00:00,2.4696,2.6514,2.4132,2.5574,20435378.3
2024-12-14 12:00:00,2.5573,2.627,2.4803,2.5786,23876283.8
2024-12-14 16:00:00,2.5785,2.6293,2.4746,2.5199,19852566.0
2024-12-14 20:00:00,2.5198,2.5445,2.4394,2.4497,9939890.6
2024-12-15 00:00:00,2.4498,2.5296,2.4215,2.4361,10481117.0
2024-12-15 04:00:00,2.436,2.5107,2.3489,2.358,11028086.3
2024-12-15 08:00:00,2.3582,2.4298,2.3263,2.4256,9217189.4
2024-12-15 12:00:00,2.4259,2.4877,2.3947,2.4751,10421924.0
2024-12-15 16:00:00,2.4751,2.7148,2.4606,2.6435,19292827.0
2024-12-15 20:00:00,2.6436,2.78,2.5649,2.7157,16022680.8
2024-12-16 00:00:00,2.7158,2.8,2.6593,2.7114,12564894.5
2024-12-16 04:00:00,2.7117,2.8786,2.6998,2.8468,16380462.7
2024-12-16 08:00:00,2.847,2.9825,2.8055,2.8552,39503558.3
2024-12-16 12:00:00,2.8552,3.1986,2.8041,3.1582,41840193.2
2024-12-16 16:00:00,3.1577,3.3308,2.9856,3.0381,48118649.2
2024-12-16 20:00:00,3.0383,3.1645,2.9521,2.9573,17542507.5
2024-12-17 00:00:00,2.9573,3.0095,2.811,2.8824,19890713.5
2024-12-17 04:00:00,2.8824,2.9125,2.7688,2.7908,15428696.6
2024-12-17 08:00:00,2.7909,2.8586,2.7017,2.7085,9979451.7
2024-12-17 12:00:00,2.7082,2.7795,2.5701,2.5853,25089907.8
2024-12-17 16:00:00,2.585,2.6795,2.5704,2.6122,14177766.2
2024-12-17 20:00:00,2.6118,2.6328,2.5275,2.5793,9266906.8
2024-12-18 00:00:00,2.58,2.7798,2.5312,2.6837,16101675.9
2024-12-18 04:00:00,2.6836,2.81,2.6447,2.7938,13695837.7
2024-12-18 08:00:00,2.7938,2.9237,2.7402,2.9003,17581327.0
2024-12-18 12:00:00,2.9004,2.9763,2.6713,2.7485,26210536.6
2024-12-18 16:00:00,2.7485,2.8964,2.6469,2.6482,19641875.9
2024-12-18 20:00:00,2.6482,2.7226,2.4904,2.5316,22842971.6
2024-12-19 00:00:00,2.5314,2.5933,2.3282,2.5825,20658643.5
2024-12-19 04:00:00,2.5818,2.65,2.5386,2.548,9856912.3
2024-12-19 08:00:00,2.5479,2.7314,2.5202,2.6977,9711247.9
2024-12-19 12:00:00,2.6978,2.732,2.3731,2.4538,16691997.4
2024-12-19 16:00:00,2.4539,2.4539,2.2129,2.246,24888258.7
2024-12-19 20:00:00,2.2467,2.3721,2.099,2.2714,18384814.1
2024-12-20 00:00:00,2.2716,2.3538,2.2328,2.3162,14128933.3
2024-12-20 04:00:00,2.3158,2.3312,2.1175,2.1939,15219437.2
2024-12-20 08:00:00,2.1936,2.194,2.0,2.0526,32551985.3
2024-12-20 12:00:00,2.0526,2.3915,2.046,2.3161,26048354.1
2024-12-20 16:00:00,2.316,2.7542,2.3031,2.6575,21450714.0
2024-12-20 20:00:00,2.6574,2.8412,2.5329,2.8307,15336067.6
2024-12-21 00:00:00,2.8304,2.8493,2.694,2.7433,10945124.3
2024-12-21 04:00:00,2.7426,2.8068,2.7101,2.754,7853781.0
2024-12-21 08:00:00,2.7546,2.8354,2.6333,2.7036,12210163.6
2024-12-21 12:00:00,2.704,2.7151,2.5713,2.6718,13905023.5
2024-12-21 16:00:00,2.6718,2.7326,2.601,2.632,10320024.7
2024-12-21 20:00:00,2.632,2.6492,2.447,2.5004,9269238.9
2024-12-22 00:00:00,2.5008,2.5309,2.3982,2.467,7547284.1
2024-12-22 04:00:00,2.4671,2.4804,2.367,2.4199,6257778.4
2024-12-22 08:00:00,2.4199,2.5618,2.4141,2.4461,7228689.8
2024-12-22 12:00:00,2.4469,2.4822,2.3409,2.3605,9207330.1
2024-12-22 16:00:00,2.3605,2.419,2.244,2.2539,7575939.8
2024-12-22 20:00:00,2.2539,2.3604,2.2289,2.332,7481970.1
2024-12-23 00:00:00,2.3321,2.4878,2.2542,2.4726,8608666.1
2024-12-23 04:00:00,2.4731,2.5598,2.3976,2.455,11024721.6
2024-12-23 08:00:00,2.4552,2.7245,2.4535,2.6883,15175256.9
2024-12-23 12:00:00,2.6876,2.7381,2.487,2.536,16566408.3
2024-12-23 16:00:00,2.536,2.8053,2.5276,2.7782,17992597.0
2024-12-23 20:00:00,2.7777,3.12,2.7584,3.0309,25475269.2
2024-12-24 00:00:00,3.0308,3.145,2.9702,3.1064,26331821.6
2024-12-24 04:00:00,3.1059,3.2097,3.0505,3.1816,20240057.0
2024-12-24 08:00:00,3.1821,3.2165,3.065,3.166,16911372.9
2024-12-24 12:00:00,3.1662,3.2589,3.0767,3.2015,16576265.9
2024-12-24 16:00:00,3.2017,3.2167,3.0372,3.0653,12068754.6
2024-12-24 20:00:00,3.0657,3.0969,3.0195,3.0374,5623169.6
2024-12-25 00:00:00,3.0374,3.0834,2.8959,2.9363,10234342.1
2024-12-25 04:00:00,2.9364,3.2009,2.91,3.1347,10457216.1
2024-12-25 08:00:00,3.1346,3.1912,3.0589,3.1482,7789714.7
2024-12-25 12:00:00,3.1483,3.2975,3.1065,3.1851,11886439.8
2024-12-25 16:00:00,3.1855,3.2498,3.1141,3.1399,7478869.3
2024-12-25 20:00:00,3.1399,3.181,3.0646,3.172,6434317.7
2024-12-26 00:00:00,3.1721,3.3455,3.152,3.1966,14340516.9
2024-12-26 04:00:00,3.1964,3.3,3.0841,3.1201,9289657.1
2024-12-26 08:00:00,3.1187,3.1244,2.8712,2.9826,14588231.8
2024-12-26 12:00:00,2.982,2.9866,2.8188,2.9522,12913378.2
2024-12-26 16:00:00,2.9519,2.9827,2.8678,2.9615,5583168.4
2024-12-26 20:00:00,2.9612,3.0333,2.8735,3.0262,5714439.8
2024-12-27 00:00:00,3.0267,3.0703,2.9257,3.0677,6886255.6
2024-12-27 04:00:00,3.0676,3.1499,3.0146,3.0507,10909135.5
2024-12-27 08:00:00,3.0507,3.3,3.0495,3.2988,14925294.0
2024-12-27 12:00:00,3.2989,3.4839,3.2946,3.4256,30947217.3
2024-12-27 16:00:00,3.4264,3.5677,3.3206,3.5402,23179624.5
2024-12-27 20:00:00,3.5402,3.6089,3.4889,3.5476,17987700.8
2024-12-28 00:00:00,3.5487,3.5704,3.3889,3.481,16057805.5
2024-12-28 04:00:00,3.4813,3.5453,3.418,3.458,11402253.6
2024-12-28 08:00:00,3.4579,3.4844,3.39,3.4209,11379982.0
2024-12-28 12:00:00,3.4209,3.4727,3.3257,3.4083,13314567.9
2024-12-28 16:00:00,3.4081,3.469,3.2512,3.3134,10542358.7
2024-12-28 20:00:00,3.3138,3.4708,3.2953,3.4095,6593644.3
2024-12-29 00:00:00,3.4089,3.49,3.3612,3.4701,5974330.2
2024-12-29 04:00:00,3.4702,3.75,3.462,3.7287,15339126.4
2024-12-29 08:00:00,3.7286,3.7381,3.6045,3.6556,9567578.7
2024-12-29 12:00:00,3.6558,3.665,3.5026,3.5932,10512633.9
2024-12-29 16:00:00,3.5928,3.721,3.5638,3.6861,12241597.2
2024-12-29 20:00:00,3.6858,3.7387,3.5687,3.6016,10125530.0
2024-12-30 00:00:00,3.6018,3.6808,3.4803,3.486,12063079.2
2024-12-30 04:00:00,3.486,3.5101,3.4301,3.472,6617317.7
2024-12-30 08:00:00,3.472,3.5705,3.436,3.5525,8361985.2
2024-12-30 12:00:00,3.5523,3.5685,3.2702,3.3609,13197291.9
2024-12-30 16:00:00,3.3603,3.5518,3.302,3.5482,9128025.2
2024-12-30 20:00:00,3.5486,3.6666,3.4854,3.5098,11863625.6
2024-12-31 00:00:00,3.51,3.5168,3.3978,3.477,6214569.2
2024-12-31 04:00:00,3.4768,3.5941,3.4426,3.5777,7723723.7
2024-12-31 08:00:00,3.5771,3.8205,3.5701,3.726,17209913.7
2024-12-31 12:00:00,3.7264,4.054,3.7255,3.9859,24928006.1
2024-12-31 16:00:00,3.9856,4.1415,3.9462,4.009,18805668.8
2024-12-31 20:00:00,4.0089,4.0435,3.9236,3.9283,8572123.5
2025-01-01 00:00:00,3.9281,4.1299,3.8918,4.0975,10735107.6
2025-01-01 04:00:00,4.0978,4.1357,3.9945,4.0261,9439707.8
2025-01-01 08:00:00,4.0278,4.0673,3.905,3.916,10280187.0
2025-01-01 12:00:00,3.9163,4.0183,3.8264,4.0053,12266648.6
2025-01-01 16:00:00,4.006,4.2752,3.8874,4.2629,13074638.3
2025-01-01 20:00:00,4.2631,4.6878,4.2373,4.6253,28033657.8
