datetime,open,high,low,close,volume
2025-01-29 08:00:00,10.636,10.9,9.1,9.64,3987863.07
2025-01-29 12:00:00,9.64,10.25,8.613,8.821,4762667.98
2025-01-29 16:00:00,8.818,9.71,8.441,9.374,5624352.38
2025-01-29 20:00:00,9.375,10.5,9.073,9.398,2584035.26
2025-01-30 00:00:00,9.396,9.435,8.251,8.691,3071268.2
2025-01-30 04:00:00,8.689,8.689,7.267,7.44,5824344.7
2025-01-30 08:00:00,7.436,7.975,7.34,7.842,4797259.03
2025-01-30 12:00:00,7.839,8.27,7.484,7.881,5471318.52
2025-01-30 16:00:00,7.882,7.935,6.718,7.048,4803383.41
2025-01-30 20:00:00,7.049,7.058,6.504,6.529,4884685.11
2025-01-31 00:00:00,6.529,6.797,5.624,5.72,6640911.26
2025-01-31 04:00:00,5.718,5.9,5.311,5.788,9712308.11
2025-01-31 08:00:00,5.788,6.138,5.405,6.036,7433671.24
2025-01-31 12:00:00,6.038,6.2,5.482,6.049,7924795.47
2025-01-31 16:00:00,6.045,6.152,5.422,5.643,6310119.69
2025-01-31 20:00:00,5.644,6.005,5.466,5.659,3815545.57
2025-02-01 00:00:00,5.66,6.019,5.54,5.665,4222115.25
2025-02-01 04:00:00,5.666,6.6,5.625,5.689,8175299.11
2025-02-01 08:00:00,5.691,5.98,5.094,5.424,8036856.16
2025-02-01 12:00:00,5.424,5.522,5.158,5.323,4164702.27
2025-02-01 16:00:00,5.323,5.343,4.326,4.432,7535461.37
2025-02-01 20:00:00,4.432,4.46,3.786,3.981,9172049.96
2025-02-02 00:00:00,3.98,4.389,3.801,3.899,8292612.31
2025-02-02 04:00:00,3.898,4.177,3.778,3.824,6787858.09
2025-02-02 08:00:00,3.824,3.85,3.302,3.346,12889500.56
2025-02-02 12:00:00,3.346,3.675,3.163,3.488,19239040.01
2025-02-02 16:00:00,3.488,3.5,3.061,3.312,15944951.97
2025-02-02 20:00:00,3.313,3.477,3.102,3.369,9092435.15
2025-02-03 00:00:00,3.369,3.39,2.294,2.947,19227576.05
2025-02-03 04:00:00,2.947,2.988,2.713,2.92,9191372.16
2025-02-03 08:00:00,2.918,3.422,2.913,3.038,12944781.16
2025-02-03 12:00:00,3.04,4.568,2.942,4.101,22953572.95
2025-02-03 16:00:00,4.105,5.888,3.946,5.391,39316072.35
2025-02-03 20:00:00,5.395,5.714,4.794,5.503,19223609.54
2025-02-04 00:00:00,5.501,5.565,4.305,4.484,17950277.47
2025-02-04 04:00:00,4.486,4.612,3.961,4.035,19519752.08
2025-02-04 08:00:00,4.035,4.25,3.722,4.136,18821095.15
2025-02-04 12:00:00,4.136,5.545,4.13,5.017,37238443.44
2025-02-04 16:00:00,5.019,5.77,4.845,5.083,21963224.4
2025-02-04 20:00:00,5.084,5.309,4.517,5.167,16620535.39
2025-02-05 00:00:00,5.168,6.298,5.15,5.58,23143595.68
2025-02-05 04:00:00,5.581,5.82,5.372,5.56,15274566.04
2025-02-05 08:00:00,5.56,6.262,5.164,6.19,30385108.45
2025-02-05 12:00:00,6.19,6.384,5.67,5.723,26746071.37
2025-02-05 16:00:00,5.721,6.097,5.537,5.802,18051448.84
2025-02-05 20:00:00,5.802,6.348,5.601,6.13,19266659.42
2025-02-06 00:00:00,6.128,6.478,5.763,6.098,18866191.7
2025-02-06 04:00:00,6.098,6.189,5.582,5.668,16784630.57
2025-02-06 08:00:00,5.671,6.091,5.522,5.84,18311016.2
2025-02-06 12:00:00,5.84,5.948,5.446,5.632,18140352.15
2025-02-06 16:00:00,5.635,5.64,4.985,5.087,14068029.55
2025-02-06 20:00:00,5.088,5.426,5.062,5.163,6946899.82
2025-02-07 00:00:00,5.164,5.629,4.944,5.395,10795272.89
2025-02-07 04:00:00,5.396,5.479,5.127,5.359,7680804.98
2025-02-07 08:00:00,5.359,6.2,5.304,5.789,10664765.98
2025-02-07 12:00:00,5.789,7.238,5.736,6.729,24143318.34
2025-02-07 16:00:00,6.729,6.966,6.215,6.44,16600859.04
2025-02-07 20:00:00,6.438,6.687,6.07,6.111,12993075.24
2025-02-08 00:00:00,6.111,6.321,5.814,6.037,11200938.41
2025-02-08 04:00:00,6.039,6.172,5.738,6.051,9244560.86
2025-02-08 08:00:00,6.05,6.583,5.908,6.349,10353251.24
2025-02-08 12:00:00,6.348,6.498,5.961,6.069,8657027.93
2025-02-08 16:00:00,6.065,6.915,5.973,6.838,7101658.34
2025-02-08 20:00:00,6.836,7.77,6.807,7.288,8294436.18
2025-02-09 00:00:00,7.286,7.532,6.954,7.397,7121804.04
2025-02-09 04:00:00,7.396,7.434,6.755,6.83,5369972.69
2025-02-09 08:00:00,6.831,6.883,6.63,6.708,3838542.64
2025-02-09 12:00:00,6.708,7.2,6.45,7.088,5373119.36
2025-02-09 16:00:00,7.088,7.219,6.634,6.731,4839113.94
2025-02-09 20:00:00,6.732,7.205,6.565,7.136,3602578.01
2025-02-10 00:00:00,7.133,7.455,6.807,7.209,5922103.42
2025-02-10 04:00:00,7.21,7.474,7.083,7.271,3956251.36
2025-02-10 08:00:00,7.271,7.87,7.2,7.685,6313511.8
2025-02-10 12:00:00,7.686,8.696,7.618,8.024,13044552.42
2025-02-10 16:00:00,8.025,8.95,8.011,8.445,7237663.62
2025-02-10 20:00:00,8.444,8.569,8.007,8.141,4015146.53
2025-02-11 00:00:00,8.141,8.586,8.065,8.331,4146871.53
2025-02-11 04:00:00,8.331,8.644,8.106,8.226,4581530.98
