datetime,open,high,low,close,volume
2026-01-07 08:00:00,79.88,82.4,78.57,78.98,73040.518
2026-01-07 12:00:00,78.98,79.99,76.5,77.24,106358.005
2026-01-07 16:00:00,77.3,79.1,77.3,78.57,30376.674
2026-01-07 20:00:00,78.6,79.01,77.4,78.92,10613.846
2026-01-08 00:00:00,78.86,79.73,77.08,78.11,18850.784
2026-01-08 04:00:00,78.16,78.16,75.61,76.06,39882.515
2026-01-08 08:00:00,76.06,76.5,75.4,75.62,20450.406
2026-01-08 12:00:00,75.6,76.12,73.01,75.85,60815.484
2026-01-08 16:00:00,75.87,76.56,75.3,76.01,22071.735
2026-01-08 20:00:00,76.0,77.21,75.97,76.85,17437.107
2026-01-09 00:00:00,76.85,77.65,75.78,76.76,17832.453
2026-01-09 04:00:00,76.76,77.63,76.52,77.27,36633.86
2026-01-09 08:00:00,77.27,78.45,77.1,78.05,44655.407
2026-01-09 12:00:00,78.05,80.31,77.3,80.19,102292.849
2026-01-09 16:00:00,80.19,80.53,79.26,79.97,66342.15
2026-01-09 20:00:00,79.95,80.29,79.64,79.86,18934.764
2026-01-10 00:00:00,79.85,80.2,79.22,79.99,14842.611
2026-01-10 04:00:00,79.99,80.07,79.87,79.89,10519.481
2026-01-10 08:00:00,79.89,80.1,79.8,79.96,9595.059
2026-01-10 12:00:00,79.96,80.11,79.79,80.04,86968.734
2026-01-10 16:00:00,80.04,82.0,79.95,80.16,58013.877
2026-01-10 20:00:00,80.19,80.66,79.71,79.86,14300.587
2026-01-11 00:00:00,79.85,80.49,79.71,80.02,11097.994
2026-01-11 04:00:00,80.03,80.31,79.5,80.1,9946.831
2026-01-11 08:00:00,80.12,80.25,79.98,80.01,6241.171
2026-01-11 12:00:00,80.02,80.2,79.99,80.04,7563.202
2026-01-11 16:00:00,80.05,80.47,80.02,80.21,9402.392
2026-01-11 20:00:00,80.25,81.88,80.1,81.65,44798.547
2026-01-12 00:00:00,81.64,84.31,81.56,83.43,191147.681
2026-01-12 04:00:00,83.44,84.74,83.22,84.25,95823.659
2026-01-12 08:00:00,84.24,84.65,83.7,83.93,72113.198
2026-01-12 12:00:00,83.95,85.97,83.72,85.45,218651.194
2026-01-12 16:00:00,85.44,86.35,85.04,85.73,99563.187
2026-01-12 20:00:00,85.69,85.8,83.3,84.52,96063.896
2026-01-13 00:00:00,84.57,86.09,83.54,85.49,120673.153
2026-01-13 04:00:00,85.5,86.02,84.74,85.29,108093.519
2026-01-13 08:00:00,85.29,86.18,85.27,85.8,89500.629
2026-01-13 12:00:00,85.81,89.17,85.47,88.74,308147.258
2026-01-13 16:00:00,88.74,89.06,86.3,87.62,181798.478
2026-01-13 20:00:00,87.63,88.2,86.1,88.01,99146.531
2026-01-14 00:00:00,88.02,90.87,87.64,90.8,182411.41
2026-01-14 04:00:00,90.8,91.7,89.28,90.19,244911.749
2026-01-14 08:00:00,90.2,90.9,89.4,90.66,133324.21
2026-01-14 12:00:00,90.66,92.23,90.25,91.8,393200.196
2026-01-14 16:00:00,91.8,93.0,89.81,92.75,265290.311
2026-01-14 20:00:00,92.73,93.81,91.26,92.32,250337.116
2026-01-15 00:00:00,92.34,93.12,86.55,87.92,585277.966
2026-01-15 04:00:00,87.93,90.31,87.21,89.46,278165.914
2026-01-15 08:00:00,89.45,91.66,89.09,91.31,204316.511
2026-01-15 12:00:00,91.33,91.45,88.05,90.7,414989.567
2026-01-15 16:00:00,90.72,92.97,90.05,92.48,306618.729
2026-01-15 20:00:00,92.49,92.92,90.35,91.45,280166.167
2026-01-16 00:00:00,91.48,92.14,89.64,90.36,260508.653
