datetime,open,high,low,close,volume
2023-04-01 00:00:00,157.5,157.73,155.24,156.95,21012.185
2023-04-01 04:00:00,156.95,157.39,154.94,156.61,21076.512
2023-04-01 08:00:00,156.6,157.05,156.07,156.55,13671.466
2023-04-01 12:00:00,156.54,156.87,155.0,155.51,22162.75
2023-04-01 16:00:00,155.5,156.2,153.68,155.12,25853.106
2023-04-01 20:00:00,155.11,156.95,154.95,156.94,15973.221
2023-04-02 00:00:00,156.91,158.6,156.54,158.46,23841.56
2023-04-02 04:00:00,158.46,159.55,157.88,159.21,20166.455
2023-04-02 08:00:00,159.21,159.45,158.14,158.55,21609.937
2023-04-02 12:00:00,158.55,159.38,155.96,156.87,41089.379
2023-04-02 16:00:00,156.92,160.45,156.19,158.76,61107.396
2023-04-02 20:00:00,158.77,160.8,158.24,160.1,41357.107
2023-04-03 00:00:00,160.11,160.36,156.11,158.48,39568.154
2023-04-03 04:00:00,158.48,160.72,157.78,160.17,53223.427
2023-04-03 08:00:00,160.21,161.77,159.9,160.18,43853.781
2023-04-03 12:00:00,160.18,161.21,159.19,159.98,39674.503
2023-04-03 16:00:00,159.98,160.4,156.71,158.04,57507.843
2023-04-03 20:00:00,158.03,158.11,155.2,156.39,64919.832
2023-04-04 00:00:00,156.4,159.2,155.69,158.84,38896.242
2023-04-04 04:00:00,158.84,159.24,157.82,158.74,18523.576
2023-04-04 08:00:00,158.74,159.48,157.01,157.84,37981.199
2023-04-04 12:00:00,157.85,158.26,156.4,157.03,48281.438
2023-04-04 16:00:00,157.03,158.32,156.11,158.21,27827.887
2023-04-04 20:00:00,158.2,158.83,157.65,158.53,21515.36
2023-04-05 00:00:00,158.54,159.84,158.05,159.41,30248.643
2023-04-05 04:00:00,159.42,160.06,158.14,158.37,26495.401
2023-04-05 08:00:00,158.38,158.64,157.03,158.02,32797.855
2023-04-05 12:00:00,158.02,158.44,156.23,157.13,51200.903
2023-04-05 16:00:00,157.13,157.73,155.78,157.64,28911.176
2023-04-05 20:00:00,157.67,158.14,157.4,157.97,14086.196
2023-04-06 00:00:00,157.97,158.47,156.55,158.43,26951.827
2023-04-06 04:00:00,158.47,158.58,157.32,157.49,20550.669
2023-04-06 08:00:00,157.49,158.12,156.64,158.07,29816.819
2023-04-06 12:00:00,158.06,158.65,156.63,156.68,31475.302
2023-04-06 16:00:00,156.68,157.65,156.11,157.2,26589.966
2023-04-06 20:00:00,157.2,157.5,156.12,156.24,15684.493
2023-04-07 00:00:00,156.24,156.86,155.06,155.53,25793.16
2023-04-07 04:00:00,155.53,156.82,155.24,156.38,24653.319
2023-04-07 08:00:00,156.32,157.4,155.83,157.07,27322.763
2023-04-07 12:00:00,157.07,157.7,156.1,156.36,28121.488
2023-04-07 16:00:00,156.34,157.54,156.01,157.29,21136.163
2023-04-07 20:00:00,157.27,157.34,156.07,156.51,13421.338
2023-04-08 00:00:00,156.52,157.83,156.52,157.64,19308.058
2023-04-08 04:00:00,157.65,158.3,157.3,157.92,15761.073
2023-04-08 08:00:00,157.92,159.0,157.61,158.45,18320.674
2023-04-08 12:00:00,158.45,158.93,157.53,158.01,21204.118
2023-04-08 16:00:00,158.0,158.98,157.69,158.03,17800.71
2023-04-08 20:00:00,158.03,158.44,157.38,158.14,15329.594
2023-04-09 00:00:00,158.15,158.96,158.09,158.59,12855.409
2023-04-09 04:00:00,158.6,159.35,157.62,157.65,17481.31
2023-04-09 08:00:00,157.64,158.5,157.58,158.41,12725.439
2023-04-09 12:00:00,158.4,159.5,157.82,159.08,22140.37
2023-04-09 16:00:00,159.07,159.3,158.07,159.07,21217.57
2023-04-09 20:00:00,159.07,160.39,158.74,160.19,20421.191
2023-04-10 00:00:00,160.19,160.6,159.03,159.67,33569.768
2023-04-10 04:00:00,159.66,160.81,159.62,160.03,20599.021
2023-04-10 08:00:00,160.04,160.58,157.0,157.04,73908.501
2023-04-10 12:00:00,157.05,157.09,155.16,156.14,54787.555
2023-04-10 16:00:00,156.15,159.8,155.97,158.31,72549.346
2023-04-10 20:00:00,158.31,159.28,157.71,158.97,33085.131
2023-04-11 00:00:00,159.0,160.3,158.51,160.22,37253.871
2023-04-11 04:00:00,160.22,160.83,159.37,159.78,31248.544
2023-04-11 08:00:00,159.77,160.35,159.28,159.63,24714.137
2023-04-11 12:00:00,159.64,162.69,159.45,162.08,41662.338
2023-04-11 16:00:00,162.03,162.49,160.23,160.84,38628.722
