symbol,market_cap
0G,138457924
0XY,17713262
1INCH,129455707
2Z,255011919
69420,13755450
9BIT,164742383
A,132427824
A7A5,503756443
AAVE,1782228300
AB,244912619
ABEY,17862561
ABT,16489462
ACE,13665028
ACH,35313494
ACRED,131021655
ACT,13341504
ACU,26485231
ACX,22717504
ADA,10190224400
ADCO,19325080
ADI,311323957
ADS,21350123
AERGO,26001324
AERO,307638933
AEUR,56015600
AEVO,21473119
AGENTFUN,74108506
AGETH,25276387
AGGON,14575224
AGI,27544526
AGIX,18473763
AGLD,24670493
AIAT,32511550
AIC,62699573
AID,21307720
AINTI,33726259
AIO,17212150
AIOZ,78652910
AIX,26019714
AIXBT,19718532
AKT,90701271
ALCH,67932915
ALEO,70582506
ALGO,781482053
ALI,13925105
ALLO,23349400
ALT,42444792
ALUSD,13604385
AMIKO,25102172
AMP,123997937
ANA,34973997
ANIME,26648279
ANKR,43505441
ANT,29109391
ANVL,52356091
AO,23575242
AP3X,24952892
APE,104163767
APEPE,200674819
APEX,44416175
API3,41863613
APR,18827923
APT,695772732
APTM,27211041
AQT,14029436
AR,106612560
ARARA,15249042
ARB,561410012
ARC,126079306
ARDR,43067668
ARG,14225292
ARIA,13050849
ARK,35015060
ARKM,63311514
ARRR,50181218
ASD,13719590
ASTER,1727099954
ASTR,63170023
AT,36628738
ATH,90942351
ATOM,1031953610
ATONE,40886086
ATOS,38583038
AUCTION,34979165
AUDIO,28584210
AUKI,40367854
AURORA,18937150
AUSD,216429366
AUSDT,49945562
AUX,41568145
AVA,14408536
AVAIL,13892209
AVAX,4009083714
AVNT,46488542
AVUSD,110187710
AWE,101949963
AXL,71176202
AXS,222505842
AZTEC,71899215
B,123994696
B2,30819483
B2M,29320621
BABY,37693875
BABYDOGE,72300162
BAN,116267970
BANANA,16977768
BANANAS31,46760106
BAND,35615689
BANK,17451846
BARD,172659705
BAS,14199934
BAT,182692580
BBT,26671628
BC,69035200
BCAP,207665010
BCE,52351440
BCH,9822400729
BDCA,59152542
BDX,611669449
BEAM,103248842
BEAT,30571170
BERA,131094578
BFC,26276560
BFUSD,1319234603
BGB,1561636613
BICO,58604830
BIGTIME,27905749
BIM,37171870
BIO,45732309
BIRB,46772553
BITCOIN,19257875
BLAST,30308889
BLUR,54835481
BMX,112985554
BNB,83347858813
BNKR,57578912
BNT,30762062
BOB,14292915
BOLD,30090169
BOME,27154825
BONE,14932755
BONK,532261882
BORA,43554326
BORG,195182973
BOTX,36684877
BRETT,72284072
BREV,33631744
BRLV,19550368
BSV,324581490
BTC,1320733152104
BTR,49049718
BTSE,261498421
BTT,328551201
BTU,20242752
BTY,18096813
BUCK,25994979
BUIDL,1939526802
BURN,40542307
BUSD,40046842
BUTTCOIN,13826728
BXN,18564826
C98,25639162
CAKE,432309962
CAPX,18772075
CARV,30265074
CASH,117108875
CATI,15183752
CAW,15215283
CBK,24897762
CC,6052248952
CCD,75209202
CELO,45180734
CELR,13956725
CET,70422912
CETUS,14456384
CFG,49656404
CFX,258762778
CGPT,17286712
CGUSD,74816838
CHECK,18016253
CHEEMS,92082807
CHEX,32814459
CHR,16014420
CHZ,356336819
CKB,74696441
CLANKER,31222000
CLASH,35489205
CLOUD,19325698
CMC20,13169669
COAI,58387691
COCO,129228759
COLLECT,31181878
COMP,175735653
CONSCIOUS,63855296
CONX,12951706
CORE,88663067
COREUM,21902612
CORGIAI,12905589
CORN,27598126
COTI,31543256
COW,123293472
CPOOL,19545950
CRCLON,51999178
CRCLX,31179989
CRO,3148104774
CROSS,33565783
CRT,17406344
CRV,365821948
CRVUSD,289628060
CSPR,43229719
CTC,80579992
CTK,35159403
CTM,355364228
CTSI,22084504
CUSD,117067494
CUSDO,46393114
CVC,25738623
CVX,172219406
CXO,26323663
CYBER,33550091
CYS,61111002
DAG,46838708
DAI,49249825
DASH,432266323
DBR,74905636
DCR,490546325
DEEP,64251478
DEGEN,24186236
DENT,21038134
DEP,34573464
DESO,58723643
DEXE,148524108
DG,15707314
DGB,77999294
DGLD,16985392
DIA,21622673
DIAM,14403266
DIEM,21416399
DIT,14521177
DKA,22173538
DODO,14857186
DOG,91372161
DOGE,16165661169
DOGS,14126640
DOLA,121683863
DOLO,17547968
