timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,daily_active_addresses,dev_activity_1d,dev_activity_contributors_count_7d,dormant_circulation_180d,dormant_circulation_365d,dormant_circulation_90d,dormant_circulation_usd_180d,exchange_open_interest,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,network_growth,network_profit_loss,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,total_funding_rates_aggregated_per_asset,total_open_interest,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,transactions_count,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2023-04-01 00:00:00,8.0,303.0,8097.0,1518.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,11277062.864645107,19448.0,19448.0,19448.0,19448.0,19448.0,19448.0,0.896140461132,0.343684098892,0.343684098892,0.959259357208,19.928650525082,0.343342097154,10.985345808053,0.935963080417,0.343684098892,0.343684098892,0.039822619285,0.046590583447,0.107303275962,103.0,0.0,11252806.158830289,11252806.158830289,225633.67715830842,2717.850123458178,11157216.481241876,5950.055202293181,1112651.5814273655,11252806.158830289,11252806.158830289,-112988.08855981764,837813.5476201415,-26482.08357188417,-1.184455215931,-1.184455215931,1.885794043541,0.70133882761,-0.00835647475,-0.00835647475,0.214566356241,0.214566356241,-0.14142077234,-0.14142077234,-0.00835647475,0.099931075065,0.120827541741,10.0,9.0,,36022598.54900717,2583.441697777195,0.0,0.0,0.0,561.0,31.0,3.0,3.0,0.0,0.0,0.0,0.0
2023-04-01 04:00:00,12.0,298.0,8107.0,1519.0,0.0,0.0,,,,,,,,11360809.114186058,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.677299380302,-0.677299380302,1.427045226097,0.749745845795,-0.103941273593,-0.103941273593,,,-0.303295258671,-0.303295258671,-0.103941273593,0.115969387218,0.106703844285,13.0,8.0,,,1224.295805525089,,,,,,3.0,3.0,0.0,0.0,0.0,0.0
2023-04-01 08:00:00,55.0,310.0,8124.0,1528.0,0.0,0.0,,,,,,,,11606130.638467068,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3.214265406132,3.214265406132,0.0,3.214265406132,0.287526997611,0.287526997611,,,0.531973737861,0.531973737861,0.287526997611,0.102017016552,0.08912692258,12.0,8.0,,,8375.481911230558,,,,,,4.0,4.0,0.0,0.0,0.0,0.0
2023-04-01 12:00:00,26.0,288.0,8142.0,1534.0,0.0,0.0,,,,,,,,11287105.326741459,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.032674252987,-0.032674252987,1.514877855778,1.482203602791,-0.111144486508,-0.111144486508,,,-0.228702894372,-0.228702894372,-0.111144486508,0.233315500611,0.233769270383,35.0,26.0,,,2674.980987034588,,,,,,10.0,10.0,0.0,0.0,0.0,0.0
2023-04-01 16:00:00,42.0,269.0,8154.0,1528.0,0.0,0.0,,,,,,,,11180828.035518259,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.847963035107,0.847963035107,0.791082680225,1.639045715332,-0.05448950164,-0.05448950164,,,0.073277188801,0.073277188801,-0.05448950164,0.061015917432,0.126381442712,8.0,11.0,,,8347.239828975858,,,,,,5.0,5.0,0.0,0.0,0.0,0.0
2023-04-01 20:00:00,16.0,266.0,8164.0,1537.0,0.0,0.0,,,,,,,,11189767.92160615,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.295709609985,-0.295709609985,1.852546811104,1.556837201118,-0.042011672702,-0.042011672702,,,-0.720885727046,-0.720885727046,-0.042011672702,0.091531841044,0.225162190153,12.0,18.0,,,1196.625938400471,,,,,,8.0,8.0,0.0,0.0,0.0,0.0
2023-04-02 00:00:00,18.0,266.0,8168.0,1535.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,11101165.517196419,19449.0,19449.0,19449.0,19449.0,19449.0,19449.0,0.874067753086,0.334969603135,0.334969603135,0.935984111872,19.423337241737,0.334636273234,10.706800045411,0.912880625199,0.334969603135,0.334969603135,0.038812872113,0.045409226954,0.104582481063,94.0,0.0,11252806.158830289,11252806.158830289,221322.78576263564,2717.850123458178,11157216.481241876,5950.055202293181,1110865.1874014796,11252806.158830289,11252806.158830289,-112988.08855981764,837813.5476201415,-26482.08357188417,-0.054700911045,-0.054700911045,0.76042163372,0.705720722675,0.032277505694,0.032277505694,-0.044075416388,-0.044075416388,-0.204724622899,-0.204724622899,0.032277505694,0.103269811977,0.07979944889,11.0,5.0,,34441640.86494421,925.613914240166,0.0,0.0,0.0,468.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-04-02 04:00:00,36.0,264.0,8155.0,1540.0,0.0,0.0,,,,,,,,10937791.76275473,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-0.774611949921,-0.774611949921,0.774611949921,0.0,0.090692789952,0.090692789952,,,-0.221036489652,-0.221036489652,0.090692789952,0.144563394606,0.192835282939,16.0,17.0,,,1523.777076469214,,,,,,3.0,3.0,0.0,0.0,0.0,0.0
2023-04-02 08:00:00,22.0,244.0,8128.0,1528.0,0.0,0.0,,,,,,,,10942752.624259498,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.388552308083,1.388552308083,0.942466437817,2.331018745899,0.200661299221,0.200661299221,,,0.066556553487,0.066556553487,0.200661299221,0.186445028554,0.16163369658,22.0,16.0,,,2686.751397072024,,,,,,4.0,4.0,0.0,0.0,0.0,0.0
2023-04-02 12:00:00,47.0,248.0,8142.0,1545.0,0.0,0.0,,,,,,,,10645339.460291669,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.909388184547,0.909388184547,0.760849773884,1.670237958431,-0.015071521256,-0.015071521256,,,0.115755516403,0.115755516403,-0.015071521256,0.061178839854,0.092066020599,9.0,13.0,,,5445.458511220416,,,,,,5.0,5.0,0.0,0.0,0.0,0.0
